utc_ts,experiment,epoch,train_loss,train_acc,val_loss,val_acc,num_parameters,mutation_applied_yet
20260401T185847Z,cgse_phase2_cifar_full,0,1.365300,0.504180,1.050382,0.624000,620810,False
20260401T185847Z,cgse_phase2_cifar_full,1,1.014939,0.640160,0.991129,0.652400,620810,False
20260401T185847Z,cgse_phase2_cifar_full,2,0.897400,0.681060,0.921222,0.681400,620810,False
20260401T185847Z,cgse_phase2_cifar_full,3,0.821345,0.709120,0.742383,0.743400,620810,False
20260401T185847Z,cgse_phase2_cifar_full,4,0.773339,0.727440,0.783285,0.728300,620810,False
20260401T185847Z,cgse_phase2_cifar_full,5,0.726093,0.744840,0.704783,0.750700,620810,False
20260401T185847Z,cgse_phase2_cifar_full,6,0.696086,0.756480,0.672032,0.768900,620810,False
20260401T185847Z,cgse_phase2_cifar_full,7,0.664226,0.768600,0.667555,0.770700,620810,False
20260401T185847Z,cgse_phase2_cifar_full,8,0.645940,0.772660,0.652173,0.771100,620810,False
20260401T185847Z,cgse_phase2_cifar_full,9,0.617984,0.783840,0.694534,0.760100,620810,False
20260401T185847Z,cgse_phase2_cifar_full,10,0.601997,0.788720,0.583488,0.798600,620810,False
20260401T185847Z,cgse_phase2_cifar_full,11,0.581321,0.795580,0.599474,0.789500,620810,False
20260401T185847Z,cgse_phase2_cifar_full,12,0.571578,0.799900,0.606753,0.792200,620810,False
20260401T185847Z,cgse_phase2_cifar_full,13,0.561606,0.803380,0.556708,0.811700,620810,False
20260401T185847Z,cgse_phase2_cifar_full,14,0.549480,0.808340,0.584398,0.799100,620810,False
20260401T185847Z,cgse_phase2_cifar_full,15,0.536386,0.811960,0.552094,0.808900,620810,False
20260401T185847Z,cgse_phase2_cifar_full,16,0.530179,0.814480,0.546419,0.811300,620810,False
20260401T185847Z,cgse_phase2_cifar_full,17,0.518969,0.819560,0.602181,0.789800,620810,False
20260401T185847Z,cgse_phase2_cifar_full,18,0.507162,0.825060,0.571321,0.803900,620810,False
20260401T185847Z,cgse_phase2_cifar_full,19,0.500296,0.825740,0.526090,0.822000,620810,False
20260401T185847Z,cgse_phase2_cifar_full,20,0.494293,0.828300,0.549829,0.813800,620810,False
20260401T185847Z,cgse_phase2_cifar_full,21,0.489319,0.830320,0.560925,0.812500,620810,False
20260401T185847Z,cgse_phase2_cifar_full,22,0.478141,0.834000,0.571028,0.805800,620810,False
20260401T185847Z,cgse_phase2_cifar_full,23,0.476838,0.833520,0.535088,0.819300,620810,False
20260401T185847Z,cgse_phase2_cifar_full,24,0.471660,0.836280,0.523120,0.815700,620810,False
20260401T185847Z,cgse_phase2_cifar_full,25,0.460789,0.837960,0.546075,0.811900,620810,False
20260401T185847Z,cgse_phase2_cifar_full,26,0.456558,0.840780,0.533856,0.814200,620810,False
20260401T185847Z,cgse_phase2_cifar_full,27,0.458189,0.839680,0.473718,0.836100,620810,False
20260401T185847Z,cgse_phase2_cifar_full,28,0.442095,0.845360,0.513772,0.828300,620810,False
20260401T185847Z,cgse_phase2_cifar_full,29,0.445845,0.846160,0.488813,0.834600,620810,False
20260401T185847Z,cgse_phase2_cifar_full,30,0.437527,0.846700,0.522479,0.819800,620810,False
20260401T185847Z,cgse_phase2_cifar_full,31,0.434659,0.849600,0.540222,0.818100,620810,False
20260401T185847Z,cgse_phase2_cifar_full,32,0.432261,0.848960,0.496821,0.837700,620810,False
20260401T185847Z,cgse_phase2_cifar_full,33,0.426561,0.851100,0.553712,0.815900,620810,False
20260401T185847Z,cgse_phase2_cifar_full,34,0.425540,0.851680,0.484204,0.834400,620810,False
20260401T185847Z,cgse_phase2_cifar_full,35,0.424730,0.851440,0.489342,0.832400,620810,False
20260401T185847Z,cgse_phase2_cifar_full,36,0.418251,0.853440,0.488671,0.837100,620810,False
20260401T185847Z,cgse_phase2_cifar_full,37,0.410609,0.856240,0.465677,0.837500,620810,False
20260401T185847Z,cgse_phase2_cifar_full,38,0.408651,0.857920,0.573530,0.808800,620810,False
20260401T185847Z,cgse_phase2_cifar_full,39,0.412755,0.853960,0.518917,0.827400,620810,False
20260401T185847Z,cgse_phase2_cifar_full,40,0.408510,0.857340,0.464308,0.840100,620810,False
20260401T185847Z,cgse_phase2_cifar_full,41,0.408474,0.857660,0.471079,0.840600,620810,False
20260401T185847Z,cgse_phase2_cifar_full,42,0.402378,0.860580,0.463535,0.846400,620810,False
20260401T185847Z,cgse_phase2_cifar_full,43,0.396692,0.860720,0.476411,0.841200,620810,False
20260401T185847Z,cgse_phase2_cifar_full,44,0.398316,0.860940,0.488640,0.836700,620810,False
20260401T185847Z,cgse_phase2_cifar_full,45,0.394254,0.861800,0.489089,0.832900,620810,False
20260401T185847Z,cgse_phase2_cifar_full,46,0.396168,0.863120,0.506866,0.826400,620810,False
20260401T185847Z,cgse_phase2_cifar_full,47,0.389221,0.864340,0.478475,0.838200,620810,False
20260401T185847Z,cgse_phase2_cifar_full,48,0.387557,0.863320,0.488539,0.832800,620810,False
20260401T185847Z,cgse_phase2_cifar_full,49,0.382253,0.866260,0.467721,0.845400,620810,False
