utc_ts,experiment,epoch,train_loss,train_acc,val_loss,val_acc,num_parameters,mutation_applied_yet
20260401T183531Z,cgse_phase2_cifar_full,0,1.365300,0.504180,1.050382,0.624000,620810,False
20260401T183751Z,cgse_phase2_cifar_full,0,1.365300,0.504180,1.050382,0.624000,620810,False
20260401T183818Z,cgse_phase2_cifar_full,0,1.365300,0.504180,1.050382,0.624000,620810,False
20260401T183831Z,cgse_phase2_cifar_full,0,1.365300,0.504180,1.050382,0.624000,620810,False
20260401T183751Z,cgse_phase2_cifar_full,1,1.014939,0.640160,0.991129,0.652400,620810,False
20260401T183848Z,cgse_phase2_cifar_full,0,1.365300,0.504180,1.050382,0.624000,620810,False
20260401T183818Z,cgse_phase2_cifar_full,1,1.014939,0.640160,0.991129,0.652400,620810,False
20260401T183831Z,cgse_phase2_cifar_full,1,1.014939,0.640160,0.991129,0.652400,620810,False
20260401T183751Z,cgse_phase2_cifar_full,2,0.897400,0.681060,0.921222,0.681400,620810,False
20260401T183848Z,cgse_phase2_cifar_full,1,1.014939,0.640160,0.991129,0.652400,620810,False
20260401T184010Z,cgse_phase2_cifar_full,0,1.365300,0.504180,1.050382,0.624000,620810,False
20260401T183818Z,cgse_phase2_cifar_full,2,0.897400,0.681060,0.921222,0.681400,620810,False
20260401T183831Z,cgse_phase2_cifar_full,2,0.897400,0.681060,0.921222,0.681400,620810,False
