[repro] Using --seed 41; experiment_name=cgse_phase2_cifar_full_cgse_seed41
[critic] CGSE mutation gating: window [10, 10], ε=0.25, force_end=True
Epoch 000 | train_loss 1.3982 | train_acc 0.4882 | val_loss 1.1239 | val_acc 0.5865 | critic -0.0335
Epoch 001 | train_loss 1.0209 | train_acc 0.6360 | val_loss 1.0157 | val_acc 0.6439 | critic -0.0384
Epoch 002 | train_loss 0.8900 | train_acc 0.6838 | val_loss 0.9340 | val_acc 0.6771 | critic -0.0388
Epoch 003 | train_loss 0.8146 | train_acc 0.7121 | val_loss 0.7375 | val_acc 0.7415 | critic -0.0320
Epoch 004 | train_loss 0.7641 | train_acc 0.7319 | val_loss 0.8228 | val_acc 0.7058 | critic -0.0690
Epoch 005 | train_loss 0.7225 | train_acc 0.7468 | val_loss 0.6554 | val_acc 0.7747 | critic -0.0301
Epoch 006 | train_loss 0.6912 | train_acc 0.7591 | val_loss 0.7472 | val_acc 0.7395 | critic -0.0707
Epoch 007 | train_loss 0.6659 | train_acc 0.7657 | val_loss 0.6694 | val_acc 0.7627 | critic -0.0510
Epoch 008 | train_loss 0.6369 | train_acc 0.7762 | val_loss 0.6673 | val_acc 0.7708 | critic -0.0580
Epoch 009 | train_loss 0.6202 | train_acc 0.7828 | val_loss 0.6619 | val_acc 0.7688 | critic -0.0621
[mutation] (critic) Applied edge_widen(fc1, delta=32) after epoch 10; params 620810 -> 686698; optimizer refreshed.
Epoch 010 | train_loss 0.6028 | train_acc 0.7877 | val_loss 0.5889 | val_acc 0.7971 | mutation=on | critic -0.0529
Epoch 011 | train_loss 0.5861 | train_acc 0.7957 | val_loss 0.6379 | val_acc 0.7853 | mutation=on | critic -0.1603
Epoch 012 | train_loss 0.5693 | train_acc 0.8019 | val_loss 0.5970 | val_acc 0.7996 | mutation=on | critic -0.1584
Epoch 013 | train_loss 0.5588 | train_acc 0.8066 | val_loss 0.6392 | val_acc 0.7828 | mutation=on | critic -0.1640
Epoch 014 | train_loss 0.5484 | train_acc 0.8086 | val_loss 0.6243 | val_acc 0.7854 | mutation=on | critic -0.1612
Epoch 015 | train_loss 0.5370 | train_acc 0.8127 | val_loss 0.5418 | val_acc 0.8143 | mutation=on | critic -0.1623
Epoch 016 | train_loss 0.5225 | train_acc 0.8170 | val_loss 0.6095 | val_acc 0.7893 | mutation=on | critic -0.1699
Epoch 017 | train_loss 0.5150 | train_acc 0.8208 | val_loss 0.6370 | val_acc 0.7810 | mutation=on | critic -0.1670
Epoch 018 | train_loss 0.5040 | train_acc 0.8239 | val_loss 0.5736 | val_acc 0.7995 | mutation=on | critic -0.1666
Epoch 019 | train_loss 0.4990 | train_acc 0.8253 | val_loss 0.5549 | val_acc 0.8103 | mutation=on | critic -0.1687
Epoch 020 | train_loss 0.4851 | train_acc 0.8300 | val_loss 0.5632 | val_acc 0.8066 | mutation=on | critic -0.1709
Epoch 021 | train_loss 0.4850 | train_acc 0.8313 | val_loss 0.5464 | val_acc 0.8101 | mutation=on | critic -0.1718
Epoch 022 | train_loss 0.4780 | train_acc 0.8324 | val_loss 0.5496 | val_acc 0.8142 | mutation=on | critic -0.1735
