[repro] Using --seed 42; experiment_name=cgse_phase2_cifar_full_cgse_seed42
[critic] CGSE mutation gating: window [10, 10], ε=0.25, force_end=True
Epoch 000 | train_loss 1.3852 | train_acc 0.4965 | val_loss 1.0320 | val_acc 0.6286 | critic 0.0566
Epoch 001 | train_loss 1.0232 | train_acc 0.6356 | val_loss 0.8906 | val_acc 0.6891 | critic 0.1059
Epoch 002 | train_loss 0.8984 | train_acc 0.6826 | val_loss 0.8331 | val_acc 0.7095 | critic 0.0814
Epoch 003 | train_loss 0.8242 | train_acc 0.7109 | val_loss 0.8103 | val_acc 0.7171 | critic 0.0760
Epoch 004 | train_loss 0.7717 | train_acc 0.7278 | val_loss 0.7190 | val_acc 0.7510 | critic 0.0790
Epoch 005 | train_loss 0.7336 | train_acc 0.7409 | val_loss 0.7138 | val_acc 0.7515 | critic 0.0714
Epoch 006 | train_loss 0.6995 | train_acc 0.7533 | val_loss 0.6648 | val_acc 0.7701 | critic 0.0743
Epoch 007 | train_loss 0.6739 | train_acc 0.7646 | val_loss 0.7002 | val_acc 0.7577 | critic 0.0678
Epoch 008 | train_loss 0.6436 | train_acc 0.7756 | val_loss 0.6416 | val_acc 0.7781 | critic 0.0742
Epoch 009 | train_loss 0.6258 | train_acc 0.7805 | val_loss 0.6154 | val_acc 0.7837 | critic 0.0697
[mutation] (critic) Applied edge_widen(fc1, delta=32) after epoch 10; params 620810 -> 686698; optimizer refreshed.
Epoch 010 | train_loss 0.6063 | train_acc 0.7876 | val_loss 0.6072 | val_acc 0.7917 | mutation=on | critic 0.0697
Epoch 011 | train_loss 0.5971 | train_acc 0.7920 | val_loss 0.6667 | val_acc 0.7693 | mutation=on | critic -0.0697
Epoch 012 | train_loss 0.5774 | train_acc 0.7994 | val_loss 0.5736 | val_acc 0.8033 | mutation=on | critic -0.0668
Epoch 013 | train_loss 0.5597 | train_acc 0.8037 | val_loss 0.5515 | val_acc 0.8094 | mutation=on | critic -0.0709
Epoch 014 | train_loss 0.5448 | train_acc 0.8079 | val_loss 0.6018 | val_acc 0.7949 | mutation=on | critic -0.0732
Epoch 015 | train_loss 0.5395 | train_acc 0.8123 | val_loss 0.5575 | val_acc 0.8065 | mutation=on | critic -0.0732
Epoch 016 | train_loss 0.5306 | train_acc 0.8156 | val_loss 0.5859 | val_acc 0.8038 | mutation=on | critic -0.0756
Epoch 017 | train_loss 0.5201 | train_acc 0.8185 | val_loss 0.5394 | val_acc 0.8153 | mutation=on | critic -0.0758
Epoch 018 | train_loss 0.5060 | train_acc 0.8239 | val_loss 0.5152 | val_acc 0.8185 | mutation=on | critic -0.0773
Epoch 019 | train_loss 0.5023 | train_acc 0.8257 | val_loss 0.5763 | val_acc 0.8039 | mutation=on | critic -0.0804
Epoch 020 | train_loss 0.4943 | train_acc 0.8280 | val_loss 0.5418 | val_acc 0.8133 | mutation=on | critic -0.0794
Epoch 021 | train_loss 0.4872 | train_acc 0.8312 | val_loss 0.5217 | val_acc 0.8217 | mutation=on | critic -0.0814
Epoch 022 | train_loss 0.4764 | train_acc 0.8333 | val_loss 0.5397 | val_acc 0.8108 | mutation=on | critic -0.0833
Epoch 023 | train_loss 0.4722 | train_acc 0.8355 | val_loss 0.5412 | val_acc 0.8140 | mutation=on | critic -0.0840
Epoch 024 | train_loss 0.4688 | train_acc 0.8376 | val_loss 0.5638 | val_acc 0.8118 | mutation=on | critic -0.0861
Epoch 025 | train_loss 0.4681 | train_acc 0.8359 | val_loss 0.5161 | val_acc 0.8281 | mutation=on | critic -0.0862
Epoch 026 | train_loss 0.4541 | train_acc 0.8429 | val_loss 0.5114 | val_acc 0.8241 | mutation=on | critic -0.0896
Epoch 027 | train_loss 0.4490 | train_acc 0.8436 | val_loss 0.5260 | val_acc 0.8213 | mutation=on | critic -0.0916
Epoch 028 | train_loss 0.4485 | train_acc 0.8425 | val_loss 0.5443 | val_acc 0.8171 | mutation=on | critic -0.0942
Epoch 029 | train_loss 0.4425 | train_acc 0.8453 | val_loss 0.4908 | val_acc 0.8296 | mutation=on | critic -0.0914
Epoch 030 | train_loss 0.4430 | train_acc 0.8449 | val_loss 0.5137 | val_acc 0.8251 | mutation=on | critic -0.0989
Epoch 031 | train_loss 0.4320 | train_acc 0.8496 | val_loss 0.4905 | val_acc 0.8295 | mutation=on | critic -0.0975
Epoch 032 | train_loss 0.4275 | train_acc 0.8496 | val_loss 0.4999 | val_acc 0.8268 | mutation=on | critic -0.1018
Epoch 033 | train_loss 0.4223 | train_acc 0.8518 | val_loss 0.5621 | val_acc 0.8097 | mutation=on | critic -0.1071
Epoch 034 | train_loss 0.4225 | train_acc 0.8537 | val_loss 0.5016 | val_acc 0.8255 | mutation=on | critic -0.1006
Epoch 035 | train_loss 0.4181 | train_acc 0.8549 | val_loss 0.4761 | val_acc 0.8374 | mutation=on | critic -0.1047
Epoch 036 | train_loss 0.4159 | train_acc 0.8557 | val_loss 0.4632 | val_acc 0.8409 | mutation=on | critic -0.1095
Epoch 037 | train_loss 0.4141 | train_acc 0.8562 | val_loss 0.4873 | val_acc 0.8340 | mutation=on | critic -0.1138
Epoch 038 | train_loss 0.4090 | train_acc 0.8558 | val_loss 0.4639 | val_acc 0.8421 | mutation=on | critic -0.1125
Epoch 039 | train_loss 0.4034 | train_acc 0.8595 | val_loss 0.5040 | val_acc 0.8283 | mutation=on | critic -0.1189
Epoch 040 | train_loss 0.4095 | train_acc 0.8577 | val_loss 0.4834 | val_acc 0.8391 | mutation=on | critic -0.1167
Epoch 041 | train_loss 0.4020 | train_acc 0.8608 | val_loss 0.4728 | val_acc 0.8388 | mutation=on | critic -0.1204
Epoch 042 | train_loss 0.3959 | train_acc 0.8636 | val_loss 0.4931 | val_acc 0.8309 | mutation=on | critic -0.1237
Epoch 043 | train_loss 0.3985 | train_acc 0.8611 | val_loss 0.4788 | val_acc 0.8375 | mutation=on | critic -0.1234
Epoch 044 | train_loss 0.3931 | train_acc 0.8632 | val_loss 0.4753 | val_acc 0.8389 | mutation=on | critic -0.1263
Epoch 045 | train_loss 0.3930 | train_acc 0.8626 | val_loss 0.4625 | val_acc 0.8438 | mutation=on | critic -0.1283
Epoch 046 | train_loss 0.3941 | train_acc 0.8636 | val_loss 0.4567 | val_acc 0.8445 | mutation=on | critic -0.1316
Epoch 047 | train_loss 0.3911 | train_acc 0.8629 | val_loss 0.4541 | val_acc 0.8494 | mutation=on | critic -0.1328
Epoch 048 | train_loss 0.3861 | train_acc 0.8657 | val_loss 0.4810 | val_acc 0.8314 | mutation=on | critic -0.1388
Epoch 049 | train_loss 0.3861 | train_acc 0.8647 | val_loss 0.5107 | val_acc 0.8313 | mutation=on | critic -0.1372
Saved checkpoint to checkpoints/cgse_phase2_cifar_full_cgse_seed42.pt
Saved critic weights to checkpoints/cgse_phase2_cifar_full_cgse_seed42_critic.pt
