[repro] Using --seed 43; experiment_name=cgse_phase2_cifar_full_seed43
Epoch 000 | train_loss 1.4090 | train_acc 0.4860 | val_loss 1.0808 | val_acc 0.6114
Epoch 001 | train_loss 1.0383 | train_acc 0.6306 | val_loss 0.8872 | val_acc 0.6831
Epoch 002 | train_loss 0.9001 | train_acc 0.6804 | val_loss 0.8308 | val_acc 0.7080
Epoch 003 | train_loss 0.8298 | train_acc 0.7077 | val_loss 0.8338 | val_acc 0.6996
Epoch 004 | train_loss 0.7734 | train_acc 0.7286 | val_loss 0.7874 | val_acc 0.7255
Epoch 005 | train_loss 0.7324 | train_acc 0.7428 | val_loss 0.7433 | val_acc 0.7376
Epoch 006 | train_loss 0.6975 | train_acc 0.7542 | val_loss 0.7209 | val_acc 0.7476
Epoch 007 | train_loss 0.6664 | train_acc 0.7668 | val_loss 0.6213 | val_acc 0.7806
Epoch 008 | train_loss 0.6456 | train_acc 0.7730 | val_loss 0.6255 | val_acc 0.7789
Epoch 009 | train_loss 0.6296 | train_acc 0.7777 | val_loss 0.6155 | val_acc 0.7863
Epoch 010 | train_loss 0.6112 | train_acc 0.7850 | val_loss 0.6255 | val_acc 0.7819
Epoch 011 | train_loss 0.5929 | train_acc 0.7936 | val_loss 0.6182 | val_acc 0.7851
Epoch 012 | train_loss 0.5765 | train_acc 0.7987 | val_loss 0.6747 | val_acc 0.7687
Epoch 013 | train_loss 0.5619 | train_acc 0.8033 | val_loss 0.6126 | val_acc 0.7882
Epoch 014 | train_loss 0.5503 | train_acc 0.8081 | val_loss 0.5391 | val_acc 0.8152
Epoch 015 | train_loss 0.5402 | train_acc 0.8102 | val_loss 0.5805 | val_acc 0.8036
Epoch 016 | train_loss 0.5312 | train_acc 0.8158 | val_loss 0.5941 | val_acc 0.8012
Epoch 017 | train_loss 0.5202 | train_acc 0.8182 | val_loss 0.5879 | val_acc 0.8004
Epoch 018 | train_loss 0.5100 | train_acc 0.8231 | val_loss 0.5570 | val_acc 0.8144
Epoch 019 | train_loss 0.4999 | train_acc 0.8260 | val_loss 0.5583 | val_acc 0.8087
Epoch 020 | train_loss 0.4910 | train_acc 0.8284 | val_loss 0.5590 | val_acc 0.8102
Epoch 021 | train_loss 0.4926 | train_acc 0.8279 | val_loss 0.5468 | val_acc 0.8134
Epoch 022 | train_loss 0.4772 | train_acc 0.8318 | val_loss 0.5802 | val_acc 0.8086
Epoch 023 | train_loss 0.4776 | train_acc 0.8344 | val_loss 0.5550 | val_acc 0.8104
Epoch 024 | train_loss 0.4696 | train_acc 0.8367 | val_loss 0.5666 | val_acc 0.8049
Epoch 025 | train_loss 0.4630 | train_acc 0.8391 | val_loss 0.5682 | val_acc 0.8058
Epoch 026 | train_loss 0.4591 | train_acc 0.8403 | val_loss 0.5486 | val_acc 0.8157
Epoch 027 | train_loss 0.4547 | train_acc 0.8403 | val_loss 0.5150 | val_acc 0.8233
Epoch 028 | train_loss 0.4477 | train_acc 0.8427 | val_loss 0.5145 | val_acc 0.8247
Epoch 029 | train_loss 0.4447 | train_acc 0.8439 | val_loss 0.5085 | val_acc 0.8227
Epoch 030 | train_loss 0.4380 | train_acc 0.8465 | val_loss 0.5373 | val_acc 0.8190
Epoch 031 | train_loss 0.4347 | train_acc 0.8485 | val_loss 0.5079 | val_acc 0.8265
Epoch 032 | train_loss 0.4362 | train_acc 0.8499 | val_loss 0.5109 | val_acc 0.8268
Epoch 033 | train_loss 0.4286 | train_acc 0.8520 | val_loss 0.5341 | val_acc 0.8257
Epoch 034 | train_loss 0.4214 | train_acc 0.8531 | val_loss 0.5004 | val_acc 0.8288
Epoch 035 | train_loss 0.4197 | train_acc 0.8526 | val_loss 0.4904 | val_acc 0.8355
Epoch 036 | train_loss 0.4176 | train_acc 0.8513 | val_loss 0.4822 | val_acc 0.8321
Epoch 037 | train_loss 0.4160 | train_acc 0.8536 | val_loss 0.5047 | val_acc 0.8270
Epoch 038 | train_loss 0.4139 | train_acc 0.8564 | val_loss 0.5318 | val_acc 0.8237
Epoch 039 | train_loss 0.4109 | train_acc 0.8569 | val_loss 0.5855 | val_acc 0.8086
Epoch 040 | train_loss 0.4057 | train_acc 0.8596 | val_loss 0.5024 | val_acc 0.8296
Epoch 041 | train_loss 0.4044 | train_acc 0.8587 | val_loss 0.4565 | val_acc 0.8442
Epoch 042 | train_loss 0.4020 | train_acc 0.8603 | val_loss 0.4934 | val_acc 0.8324
Epoch 043 | train_loss 0.3971 | train_acc 0.8634 | val_loss 0.4823 | val_acc 0.8368
Epoch 044 | train_loss 0.3945 | train_acc 0.8617 | val_loss 0.4592 | val_acc 0.8429
Epoch 045 | train_loss 0.3961 | train_acc 0.8620 | val_loss 0.4832 | val_acc 0.8376
Epoch 046 | train_loss 0.3939 | train_acc 0.8648 | val_loss 0.5049 | val_acc 0.8303
Epoch 047 | train_loss 0.3924 | train_acc 0.8611 | val_loss 0.4929 | val_acc 0.8332
Epoch 048 | train_loss 0.3891 | train_acc 0.8636 | val_loss 0.4957 | val_acc 0.8310
Epoch 049 | train_loss 0.3862 | train_acc 0.8655 | val_loss 0.4753 | val_acc 0.8400
Saved checkpoint to checkpoints/cgse_phase2_cifar_full_seed43.pt
