[repro] Using --seed 42; experiment_name=cgse_phase3_cifar_kd_seed42
[teacher] Loaded frozen teacher from checkpoints/cgse_phase2_cifar_full.pt (KD training).
Epoch 000 | train_loss 2.5123 | train_acc 0.5394 | val_loss 1.0401 | val_acc 0.6639 | kd T=4.0 α=0.5
Epoch 001 | train_loss 1.4286 | train_acc 0.6754 | val_loss 0.8855 | val_acc 0.7143 | kd T=4.0 α=0.5
Epoch 002 | train_loss 1.1404 | train_acc 0.7164 | val_loss 0.7324 | val_acc 0.7553 | kd T=4.0 α=0.5
Epoch 003 | train_loss 0.9640 | train_acc 0.7478 | val_loss 0.7629 | val_acc 0.7453 | kd T=4.0 α=0.5
Epoch 004 | train_loss 0.8716 | train_acc 0.7644 | val_loss 0.7465 | val_acc 0.7573 | kd T=4.0 α=0.5
Epoch 005 | train_loss 0.8026 | train_acc 0.7766 | val_loss 0.6553 | val_acc 0.7860 | kd T=4.0 α=0.5
Epoch 006 | train_loss 0.7473 | train_acc 0.7869 | val_loss 0.6567 | val_acc 0.7880 | kd T=4.0 α=0.5
Epoch 007 | train_loss 0.7080 | train_acc 0.7949 | val_loss 0.5862 | val_acc 0.8061 | kd T=4.0 α=0.5
Epoch 008 | train_loss 0.6747 | train_acc 0.8027 | val_loss 0.5761 | val_acc 0.8065 | kd T=4.0 α=0.5
Epoch 009 | train_loss 0.6456 | train_acc 0.8100 | val_loss 0.5564 | val_acc 0.8137 | kd T=4.0 α=0.5
Epoch 010 | train_loss 0.6236 | train_acc 0.8153 | val_loss 0.5557 | val_acc 0.8168 | kd T=4.0 α=0.5
Epoch 011 | train_loss 0.5981 | train_acc 0.8178 | val_loss 0.5828 | val_acc 0.8075 | kd T=4.0 α=0.5
Epoch 012 | train_loss 0.5797 | train_acc 0.8212 | val_loss 0.5601 | val_acc 0.8061 | kd T=4.0 α=0.5
Epoch 013 | train_loss 0.5725 | train_acc 0.8254 | val_loss 0.5126 | val_acc 0.8230 | kd T=4.0 α=0.5
Epoch 014 | train_loss 0.5539 | train_acc 0.8261 | val_loss 0.5164 | val_acc 0.8285 | kd T=4.0 α=0.5
Epoch 015 | train_loss 0.5412 | train_acc 0.8295 | val_loss 0.5135 | val_acc 0.8278 | kd T=4.0 α=0.5
Epoch 016 | train_loss 0.5319 | train_acc 0.8326 | val_loss 0.5143 | val_acc 0.8292 | kd T=4.0 α=0.5
Epoch 017 | train_loss 0.5251 | train_acc 0.8352 | val_loss 0.5218 | val_acc 0.8281 | kd T=4.0 α=0.5
Epoch 018 | train_loss 0.5116 | train_acc 0.8352 | val_loss 0.5044 | val_acc 0.8285 | kd T=4.0 α=0.5
Epoch 019 | train_loss 0.5039 | train_acc 0.8401 | val_loss 0.5165 | val_acc 0.8282 | kd T=4.0 α=0.5
Epoch 020 | train_loss 0.4987 | train_acc 0.8394 | val_loss 0.5321 | val_acc 0.8213 | kd T=4.0 α=0.5
Epoch 021 | train_loss 0.4859 | train_acc 0.8415 | val_loss 0.5071 | val_acc 0.8342 | kd T=4.0 α=0.5
Epoch 022 | train_loss 0.4739 | train_acc 0.8461 | val_loss 0.5025 | val_acc 0.8326 | kd T=4.0 α=0.5
Epoch 023 | train_loss 0.4682 | train_acc 0.8446 | val_loss 0.5073 | val_acc 0.8297 | kd T=4.0 α=0.5
Epoch 024 | train_loss 0.4589 | train_acc 0.8475 | val_loss 0.5039 | val_acc 0.8323 | kd T=4.0 α=0.5
Epoch 025 | train_loss 0.4602 | train_acc 0.8473 | val_loss 0.4960 | val_acc 0.8364 | kd T=4.0 α=0.5
Epoch 026 | train_loss 0.4498 | train_acc 0.8501 | val_loss 0.5132 | val_acc 0.8271 | kd T=4.0 α=0.5
Epoch 027 | train_loss 0.4513 | train_acc 0.8489 | val_loss 0.4731 | val_acc 0.8387 | kd T=4.0 α=0.5
Epoch 028 | train_loss 0.4378 | train_acc 0.8523 | val_loss 0.4902 | val_acc 0.8374 | kd T=4.0 α=0.5
Epoch 029 | train_loss 0.4340 | train_acc 0.8526 | val_loss 0.5205 | val_acc 0.8278 | kd T=4.0 α=0.5
Epoch 030 | train_loss 0.4265 | train_acc 0.8531 | val_loss 0.4652 | val_acc 0.8453 | kd T=4.0 α=0.5
Epoch 031 | train_loss 0.4305 | train_acc 0.8536 | val_loss 0.5590 | val_acc 0.8163 | kd T=4.0 α=0.5
Epoch 032 | train_loss 0.4193 | train_acc 0.8543 | val_loss 0.4833 | val_acc 0.8370 | kd T=4.0 α=0.5
Epoch 033 | train_loss 0.4231 | train_acc 0.8521 | val_loss 0.4596 | val_acc 0.8454 | kd T=4.0 α=0.5
Epoch 034 | train_loss 0.4128 | train_acc 0.8549 | val_loss 0.4608 | val_acc 0.8451 | kd T=4.0 α=0.5
Epoch 035 | train_loss 0.4148 | train_acc 0.8557 | val_loss 0.4983 | val_acc 0.8387 | kd T=4.0 α=0.5
Epoch 036 | train_loss 0.4071 | train_acc 0.8568 | val_loss 0.4727 | val_acc 0.8423 | kd T=4.0 α=0.5
Epoch 037 | train_loss 0.4024 | train_acc 0.8578 | val_loss 0.5053 | val_acc 0.8372 | kd T=4.0 α=0.5
Epoch 038 | train_loss 0.4021 | train_acc 0.8571 | val_loss 0.4907 | val_acc 0.8350 | kd T=4.0 α=0.5
Epoch 039 | train_loss 0.3975 | train_acc 0.8582 | val_loss 0.4749 | val_acc 0.8387 | kd T=4.0 α=0.5
Epoch 040 | train_loss 0.3898 | train_acc 0.8608 | val_loss 0.4934 | val_acc 0.8340 | kd T=4.0 α=0.5
Epoch 041 | train_loss 0.3916 | train_acc 0.8589 | val_loss 0.4715 | val_acc 0.8420 | kd T=4.0 α=0.5
Epoch 042 | train_loss 0.3828 | train_acc 0.8611 | val_loss 0.4758 | val_acc 0.8449 | kd T=4.0 α=0.5
