Epoch 000 | train_loss 1.3653 | train_acc 0.5042 | val_loss 1.0504 | val_acc 0.6240
Epoch 001 | train_loss 1.0149 | train_acc 0.6402 | val_loss 0.9911 | val_acc 0.6524
Epoch 002 | train_loss 0.8974 | train_acc 0.6811 | val_loss 0.9212 | val_acc 0.6814
Epoch 003 | train_loss 0.8213 | train_acc 0.7091 | val_loss 0.7424 | val_acc 0.7434
Epoch 004 | train_loss 0.7733 | train_acc 0.7274 | val_loss 0.7833 | val_acc 0.7283
Epoch 005 | train_loss 0.7261 | train_acc 0.7448 | val_loss 0.7048 | val_acc 0.7507
Epoch 006 | train_loss 0.6961 | train_acc 0.7565 | val_loss 0.6720 | val_acc 0.7689
Epoch 007 | train_loss 0.6642 | train_acc 0.7686 | val_loss 0.6676 | val_acc 0.7707
Epoch 008 | train_loss 0.6459 | train_acc 0.7727 | val_loss 0.6522 | val_acc 0.7711
Epoch 009 | train_loss 0.6180 | train_acc 0.7838 | val_loss 0.6945 | val_acc 0.7601
Epoch 010 | train_loss 0.6020 | train_acc 0.7887 | val_loss 0.5835 | val_acc 0.7986
Epoch 011 | train_loss 0.5813 | train_acc 0.7956 | val_loss 0.5995 | val_acc 0.7895
Epoch 012 | train_loss 0.5716 | train_acc 0.7999 | val_loss 0.6068 | val_acc 0.7922
Epoch 013 | train_loss 0.5616 | train_acc 0.8034 | val_loss 0.5567 | val_acc 0.8117
Epoch 014 | train_loss 0.5495 | train_acc 0.8083 | val_loss 0.5844 | val_acc 0.7991
Epoch 015 | train_loss 0.5364 | train_acc 0.8120 | val_loss 0.5521 | val_acc 0.8089
Epoch 016 | train_loss 0.5302 | train_acc 0.8145 | val_loss 0.5464 | val_acc 0.8113
Epoch 017 | train_loss 0.5190 | train_acc 0.8196 | val_loss 0.6022 | val_acc 0.7898
Epoch 018 | train_loss 0.5072 | train_acc 0.8251 | val_loss 0.5713 | val_acc 0.8039
Epoch 019 | train_loss 0.5003 | train_acc 0.8257 | val_loss 0.5261 | val_acc 0.8220
Epoch 020 | train_loss 0.4943 | train_acc 0.8283 | val_loss 0.5498 | val_acc 0.8138
Epoch 021 | train_loss 0.4893 | train_acc 0.8303 | val_loss 0.5609 | val_acc 0.8125
Epoch 022 | train_loss 0.4781 | train_acc 0.8340 | val_loss 0.5710 | val_acc 0.8058
Epoch 023 | train_loss 0.4768 | train_acc 0.8335 | val_loss 0.5351 | val_acc 0.8193
Epoch 024 | train_loss 0.4717 | train_acc 0.8363 | val_loss 0.5231 | val_acc 0.8157
Epoch 025 | train_loss 0.4608 | train_acc 0.8380 | val_loss 0.5461 | val_acc 0.8119
Epoch 026 | train_loss 0.4566 | train_acc 0.8408 | val_loss 0.5339 | val_acc 0.8142
Epoch 027 | train_loss 0.4582 | train_acc 0.8397 | val_loss 0.4737 | val_acc 0.8361
Epoch 028 | train_loss 0.4421 | train_acc 0.8454 | val_loss 0.5138 | val_acc 0.8283
Epoch 029 | train_loss 0.4458 | train_acc 0.8462 | val_loss 0.4888 | val_acc 0.8346
Epoch 030 | train_loss 0.4375 | train_acc 0.8467 | val_loss 0.5225 | val_acc 0.8198
Epoch 031 | train_loss 0.4347 | train_acc 0.8496 | val_loss 0.5402 | val_acc 0.8181
Epoch 032 | train_loss 0.4323 | train_acc 0.8490 | val_loss 0.4968 | val_acc 0.8377
Epoch 033 | train_loss 0.4266 | train_acc 0.8511 | val_loss 0.5537 | val_acc 0.8159
Epoch 034 | train_loss 0.4255 | train_acc 0.8517 | val_loss 0.4842 | val_acc 0.8344
Epoch 035 | train_loss 0.4247 | train_acc 0.8514 | val_loss 0.4893 | val_acc 0.8324
Epoch 036 | train_loss 0.4183 | train_acc 0.8534 | val_loss 0.4887 | val_acc 0.8371
Epoch 037 | train_loss 0.4106 | train_acc 0.8562 | val_loss 0.4657 | val_acc 0.8375
Epoch 038 | train_loss 0.4087 | train_acc 0.8579 | val_loss 0.5735 | val_acc 0.8088
Epoch 039 | train_loss 0.4128 | train_acc 0.8540 | val_loss 0.5189 | val_acc 0.8274
Epoch 040 | train_loss 0.4085 | train_acc 0.8573 | val_loss 0.4643 | val_acc 0.8401
Epoch 041 | train_loss 0.4085 | train_acc 0.8577 | val_loss 0.4711 | val_acc 0.8406
Epoch 042 | train_loss 0.4024 | train_acc 0.8606 | val_loss 0.4635 | val_acc 0.8464
Epoch 043 | train_loss 0.3967 | train_acc 0.8607 | val_loss 0.4764 | val_acc 0.8412
Epoch 044 | train_loss 0.3983 | train_acc 0.8609 | val_loss 0.4886 | val_acc 0.8367
Epoch 045 | train_loss 0.3943 | train_acc 0.8618 | val_loss 0.4891 | val_acc 0.8329
Epoch 046 | train_loss 0.3962 | train_acc 0.8631 | val_loss 0.5069 | val_acc 0.8264
Epoch 047 | train_loss 0.3892 | train_acc 0.8643 | val_loss 0.4785 | val_acc 0.8382
Epoch 048 | train_loss 0.3876 | train_acc 0.8633 | val_loss 0.4885 | val_acc 0.8328
Epoch 049 | train_loss 0.3823 | train_acc 0.8663 | val_loss 0.4677 | val_acc 0.8454
Saved checkpoint to checkpoints/cgse_phase2_cifar_full.pt
