Epoch 000 | train_loss 1.3653 | train_acc 0.5042 | val_loss 1.0504 | val_acc 0.6240
Epoch 001 | train_loss 1.0149 | train_acc 0.6402 | val_loss 0.9911 | val_acc 0.6524
Epoch 002 | train_loss 0.8974 | train_acc 0.6811 | val_loss 0.9212 | val_acc 0.6814
Epoch 003 | train_loss 0.8213 | train_acc 0.7091 | val_loss 0.7424 | val_acc 0.7434
Epoch 004 | train_loss 0.7733 | train_acc 0.7274 | val_loss 0.7833 | val_acc 0.7283
Epoch 005 | train_loss 0.7261 | train_acc 0.7448 | val_loss 0.7048 | val_acc 0.7507
Epoch 006 | train_loss 0.6961 | train_acc 0.7565 | val_loss 0.6720 | val_acc 0.7689
Epoch 007 | train_loss 0.6642 | train_acc 0.7686 | val_loss 0.6676 | val_acc 0.7707
Epoch 008 | train_loss 0.6459 | train_acc 0.7727 | val_loss 0.6522 | val_acc 0.7711
Epoch 009 | train_loss 0.6180 | train_acc 0.7838 | val_loss 0.6945 | val_acc 0.7601
[mutation] Applied edge_widen(fc1, delta=32) after epoch 10; params 620810 -> 686698; optimizer refreshed.
Epoch 010 | train_loss 0.6020 | train_acc 0.7887 | val_loss 0.5835 | val_acc 0.7986 | mutation=on
Epoch 011 | train_loss 0.5896 | train_acc 0.7932 | val_loss 0.5810 | val_acc 0.7975 | mutation=on
Epoch 012 | train_loss 0.5708 | train_acc 0.7999 | val_loss 0.5956 | val_acc 0.7971 | mutation=on
Epoch 013 | train_loss 0.5562 | train_acc 0.8054 | val_loss 0.5741 | val_acc 0.8043 | mutation=on
Epoch 014 | train_loss 0.5441 | train_acc 0.8110 | val_loss 0.6125 | val_acc 0.7908 | mutation=on
Epoch 015 | train_loss 0.5395 | train_acc 0.8114 | val_loss 0.5915 | val_acc 0.7993 | mutation=on
Epoch 016 | train_loss 0.5256 | train_acc 0.8169 | val_loss 0.6262 | val_acc 0.7838 | mutation=on
Epoch 017 | train_loss 0.5152 | train_acc 0.8218 | val_loss 0.5688 | val_acc 0.8037 | mutation=on
Epoch 018 | train_loss 0.5082 | train_acc 0.8232 | val_loss 0.5447 | val_acc 0.8127 | mutation=on
Epoch 019 | train_loss 0.4987 | train_acc 0.8259 | val_loss 0.6149 | val_acc 0.7891 | mutation=on
Epoch 020 | train_loss 0.4928 | train_acc 0.8287 | val_loss 0.5217 | val_acc 0.8210 | mutation=on
Epoch 021 | train_loss 0.4935 | train_acc 0.8271 | val_loss 0.5376 | val_acc 0.8154 | mutation=on
