utc_ts,experiment,epoch,train_loss,train_acc,val_loss,val_acc,num_parameters,mutation_applied_yet,critic_score
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,0,1.385237,0.496460,1.031989,0.628600,620810,False,0.056599
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,1,1.023150,0.635600,0.890582,0.689100,620810,False,0.105860
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,2,0.898419,0.682560,0.833071,0.709500,620810,False,0.081428
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,3,0.824157,0.710900,0.810281,0.717100,620810,False,0.075958
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,4,0.771669,0.727840,0.718977,0.751000,620810,False,0.078971
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,5,0.733606,0.740880,0.713831,0.751500,620810,False,0.071437
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,6,0.699537,0.753300,0.664775,0.770100,620810,False,0.074286
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,7,0.673857,0.764560,0.700198,0.757700,620810,False,0.067788
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,8,0.643610,0.775560,0.641568,0.778100,620810,False,0.074198
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,9,0.625815,0.780460,0.615351,0.783700,620810,False,0.069750
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,10,0.606256,0.787560,0.607218,0.791700,686698,True,0.069688
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,11,0.597075,0.792040,0.666706,0.769300,686698,True,-0.069663
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,12,0.577357,0.799420,0.573631,0.803300,686698,True,-0.066805
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,13,0.559702,0.803720,0.551505,0.809400,686698,True,-0.070895
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,14,0.544800,0.807880,0.601761,0.794900,686698,True,-0.073192
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,15,0.539486,0.812320,0.557515,0.806500,686698,True,-0.073182
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,16,0.530587,0.815580,0.585949,0.803800,686698,True,-0.075625
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,17,0.520122,0.818540,0.539450,0.815300,686698,True,-0.075760
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,18,0.505954,0.823940,0.515155,0.818500,686698,True,-0.077259
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,19,0.502330,0.825680,0.576344,0.803900,686698,True,-0.080442
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,20,0.494347,0.827980,0.541788,0.813300,686698,True,-0.079436
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,21,0.487196,0.831200,0.521665,0.821700,686698,True,-0.081447
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,22,0.476428,0.833280,0.539710,0.810800,686698,True,-0.083258
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,23,0.472221,0.835460,0.541175,0.814000,686698,True,-0.084021
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,24,0.468789,0.837640,0.563767,0.811800,686698,True,-0.086074
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,25,0.468084,0.835900,0.516129,0.828100,686698,True,-0.086190
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,26,0.454080,0.842860,0.511436,0.824100,686698,True,-0.089650
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,27,0.449005,0.843600,0.526030,0.821300,686698,True,-0.091597
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,28,0.448502,0.842480,0.544302,0.817100,686698,True,-0.094172
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,29,0.442497,0.845340,0.490805,0.829600,686698,True,-0.091391
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,30,0.442992,0.844900,0.513706,0.825100,686698,True,-0.098865
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,31,0.432018,0.849600,0.490478,0.829500,686698,True,-0.097493
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,32,0.427480,0.849640,0.499896,0.826800,686698,True,-0.101793
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,33,0.422280,0.851800,0.562056,0.809700,686698,True,-0.107063
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,34,0.422542,0.853700,0.501639,0.825500,686698,True,-0.100572
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,35,0.418140,0.854900,0.476115,0.837400,686698,True,-0.104730
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,36,0.415864,0.855680,0.463229,0.840900,686698,True,-0.109540
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,37,0.414091,0.856160,0.487266,0.834000,686698,True,-0.113845
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,38,0.408997,0.855820,0.463938,0.842100,686698,True,-0.112456
20260404T071350Z,cgse_phase2_cifar_full_cgse_seed42,39,0.403354,0.859540,0.504024,0.828300,686698,True,-0.118901
