utc_ts,experiment,epoch,train_loss,train_acc,val_loss,val_acc,num_parameters,mutation_applied_yet,critic_score
20260404T041415Z,cgse_phase3_cifar_kd_seed41,0,2.562581,0.531100,1.126738,0.647900,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,1,1.460915,0.672340,0.948545,0.705300,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,2,1.138407,0.720420,0.868678,0.729000,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,3,0.991727,0.743280,0.774959,0.753400,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,4,0.903239,0.762280,0.681431,0.778600,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,5,0.846153,0.773900,0.697544,0.770900,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,6,0.787022,0.783180,0.605635,0.802400,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,7,0.740627,0.792600,0.608327,0.798600,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,8,0.708354,0.800280,0.702159,0.772500,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,9,0.689817,0.804720,0.601063,0.803300,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,10,0.663574,0.810660,0.588340,0.807300,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,11,0.641871,0.814920,0.571688,0.808800,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,12,0.632079,0.815940,0.579000,0.811100,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,13,0.617147,0.821380,0.529496,0.817800,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,14,0.600165,0.823280,0.615227,0.797500,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,15,0.589127,0.825400,0.550855,0.818300,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,16,0.581659,0.826420,0.556474,0.817700,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,17,0.569952,0.829460,0.543103,0.818000,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,18,0.561693,0.832860,0.643135,0.791500,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,19,0.554934,0.833760,0.499395,0.831500,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,20,0.547882,0.835240,0.521825,0.828400,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,21,0.541208,0.837140,0.531383,0.823000,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,22,0.532917,0.838580,0.545426,0.818700,620810,False,
20260404T041415Z,cgse_phase3_cifar_kd_seed41,23,0.527682,0.840740,0.512403,0.831000,620810,False,
