[repro] Using --seed 41; experiment_name=cgse_evolution_tier1b_critic_seed41
[evolution] critic mode: 3 candidate types, ε=0.25
Epoch 000 (stage 0) | train_loss 1.4128 | train_acc 0.4836 | val_loss 1.0954 | val_acc 0.6034
Epoch 001 (stage 0) | train_loss 1.0245 | train_acc 0.6375 | val_loss 0.8772 | val_acc 0.6899
Epoch 002 (stage 0) | train_loss 0.8961 | train_acc 0.6839 | val_loss 0.9076 | val_acc 0.6796
Epoch 003 (stage 0) | train_loss 0.8300 | train_acc 0.7072 | val_loss 0.7601 | val_acc 0.7338
Epoch 004 (stage 0) | train_loss 0.7701 | train_acc 0.7318 | val_loss 0.8012 | val_acc 0.7276
Epoch 005 (stage 0) | train_loss 0.7293 | train_acc 0.7448 | val_loss 0.7670 | val_acc 0.7334
Epoch 006 (stage 0) | train_loss 0.6920 | train_acc 0.7567 | val_loss 0.6281 | val_acc 0.7773
Epoch 007 (stage 0) | train_loss 0.6685 | train_acc 0.7647 | val_loss 0.6677 | val_acc 0.7693
Epoch 008 (stage 0) | train_loss 0.6443 | train_acc 0.7742 | val_loss 0.6657 | val_acc 0.7674
Epoch 009 (stage 0) | train_loss 0.6247 | train_acc 0.7817 | val_loss 0.7132 | val_acc 0.7588
[evolution] (evolution_critic) split_before_fc2 @ global_epoch 9; params 620810 -> 686602
Epoch 010 (stage 1) | train_loss 0.6177 | train_acc 0.7832 | val_loss 0.6558 | val_acc 0.7690
Epoch 011 (stage 1) | train_loss 0.6011 | train_acc 0.7907 | val_loss 0.5784 | val_acc 0.7961
Epoch 012 (stage 1) | train_loss 0.5798 | train_acc 0.7970 | val_loss 0.6421 | val_acc 0.7838
Epoch 013 (stage 1) | train_loss 0.5683 | train_acc 0.8026 | val_loss 0.6075 | val_acc 0.7876
Epoch 014 (stage 1) | train_loss 0.5603 | train_acc 0.8044 | val_loss 0.5948 | val_acc 0.7930
Epoch 015 (stage 1) | train_loss 0.5391 | train_acc 0.8131 | val_loss 0.6197 | val_acc 0.7869
Epoch 016 (stage 1) | train_loss 0.5294 | train_acc 0.8148 | val_loss 0.5797 | val_acc 0.8031
