utc_ts,experiment,epoch,train_loss,train_acc,val_loss,val_acc,num_parameters,mutation_applied_yet,critic_score
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,0,1.441306,0.472660,1.172719,0.588100,620810,False,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,1,1.045697,0.625340,0.909538,0.679300,620810,False,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,2,0.905113,0.678460,0.861066,0.695900,620810,False,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,3,0.831435,0.707880,0.831230,0.715600,620810,False,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,4,0.777233,0.726000,0.726984,0.743600,620810,False,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,5,0.731794,0.740600,0.802427,0.720900,620810,False,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,6,0.699293,0.755400,0.703985,0.747000,620810,False,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,7,0.677980,0.762200,0.725936,0.752900,620810,False,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,8,0.654037,0.770320,0.676987,0.768600,620810,False,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,9,0.622030,0.781580,0.625835,0.786200,620810,False,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,10,0.624309,0.781600,0.614672,0.788900,770410,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,11,0.602367,0.789020,0.595586,0.793900,770410,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,12,0.585224,0.794940,0.640059,0.784200,770410,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,13,0.569849,0.800100,0.602076,0.794100,770410,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,14,0.553647,0.806120,0.627312,0.792000,770410,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,15,0.546188,0.808160,0.569777,0.803900,770410,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,16,0.530043,0.816440,0.573190,0.798500,770410,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,17,0.530667,0.815220,0.610236,0.794200,770410,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,18,0.512981,0.821960,0.536365,0.817700,770410,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,19,0.506035,0.823120,0.544319,0.809500,770410,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,20,0.511460,0.822900,0.604942,0.794500,836202,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,21,0.503670,0.825400,0.543500,0.813300,836202,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,22,0.495709,0.826680,0.530286,0.819400,836202,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,23,0.485188,0.831640,0.530435,0.820400,836202,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,24,0.470798,0.834960,0.542612,0.814800,836202,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,25,0.473961,0.834920,0.521908,0.824600,836202,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,26,0.467857,0.836860,0.522906,0.824700,836202,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,27,0.460379,0.841200,0.550674,0.813000,836202,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,28,0.452051,0.842300,0.527759,0.820100,836202,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,29,0.448158,0.842000,0.503815,0.831700,836202,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,30,0.444137,0.846640,0.510620,0.831800,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,31,0.440046,0.846600,0.539185,0.822700,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,32,0.436217,0.847380,0.530634,0.822800,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,33,0.431205,0.850340,0.569727,0.813400,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,34,0.420807,0.852860,0.509812,0.830400,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,35,0.420004,0.853460,0.535937,0.823200,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,36,0.422319,0.853240,0.538536,0.825300,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,37,0.411455,0.855740,0.550146,0.819500,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,38,0.408404,0.857460,0.495645,0.837900,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,39,0.401388,0.860480,0.492135,0.830200,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,40,0.404174,0.858660,0.511885,0.832400,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,41,0.402412,0.859600,0.500796,0.834300,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,42,0.396699,0.861000,0.482900,0.836400,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,43,0.401043,0.860540,0.484041,0.842500,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,44,0.393474,0.862240,0.461971,0.848600,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,45,0.389252,0.864780,0.558850,0.820000,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,46,0.383312,0.866060,0.507124,0.836700,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,47,0.383606,0.866780,0.513155,0.834000,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,48,0.386996,0.864240,0.489507,0.837100,926346,True,
20260405T024456Z,cgse_evolution_tier1b_critic_seed43,49,0.377762,0.866820,0.503317,0.838000,926346,True,
