utc_ts,experiment,epoch,train_loss,train_acc,val_loss,val_acc,num_parameters,mutation_applied_yet,critic_score
20260404T111144Z,cgse_evolution_tier1b_critic_smoke,0,2.186375,0.208984,2.054320,0.195312,620810,False,
20260404T111144Z,cgse_evolution_tier1b_critic_smoke,1,1.790281,0.321289,1.854375,0.308594,620810,False,
20260404T111426Z,cgse_evolution_tier1b_critic_smoke,0,2.186375,0.208984,2.054320,0.195312,620810,False,
20260404T111426Z,cgse_evolution_tier1b_critic_smoke,1,1.790281,0.321289,1.854375,0.308594,620810,False,
20260404T111426Z,cgse_evolution_tier1b_critic_smoke,2,2.161472,0.262695,1.994788,0.253906,4817162,True,
20260404T111426Z,cgse_evolution_tier1b_critic_smoke,3,1.780635,0.335938,1.831161,0.289062,4817162,True,
20260404T112056Z,cgse_evolution_tier1b_critic_smoke,0,2.186375,0.208984,2.054320,0.195312,620810,False,
20260404T112056Z,cgse_evolution_tier1b_critic_smoke,1,1.790281,0.321289,1.854375,0.308594,620810,False,
20260404T112056Z,cgse_evolution_tier1b_critic_smoke,2,2.161472,0.262695,1.994788,0.253906,4817162,True,
20260404T112056Z,cgse_evolution_tier1b_critic_smoke,3,1.780635,0.335938,1.831161,0.289062,4817162,True,
20260404T112056Z,cgse_evolution_tier1b_critic_smoke,4,2.123827,0.261719,1.950342,0.289062,6006330,True,
20260404T112056Z,cgse_evolution_tier1b_critic_smoke,5,1.837137,0.334961,2.090255,0.265625,6006330,True,
20260404T112056Z,cgse_evolution_tier1b_critic_smoke,6,2.018724,0.329102,1.929203,0.285156,6043370,True,
20260404T112056Z,cgse_evolution_tier1b_critic_smoke,7,1.694205,0.376953,1.871881,0.304688,6043370,True,
