utc_ts,experiment,epoch,train_loss,train_acc,val_loss,val_acc,num_parameters,mutation_applied_yet,critic_score
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,0,1.404510,0.485640,1.110505,0.596600,620810,False,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,1,1.033705,0.629640,0.897125,0.685400,620810,False,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,2,0.898423,0.682300,0.840455,0.702600,620810,False,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,3,0.833172,0.708000,0.793515,0.720800,620810,False,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,4,0.771322,0.727300,0.761717,0.736700,620810,False,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,5,0.736319,0.741280,0.679108,0.761300,620810,False,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,6,0.704786,0.751900,0.721735,0.745000,620810,False,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,7,0.677872,0.760700,0.670787,0.772100,620810,False,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,8,0.654789,0.770120,0.708172,0.753800,620810,False,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,9,0.635234,0.778280,0.652048,0.773300,620810,False,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,10,0.625653,0.781480,0.670257,0.769100,770410,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,11,0.598299,0.789860,0.670877,0.769000,770410,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,12,0.587885,0.793820,0.647396,0.774500,770410,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,13,0.571529,0.800000,0.613223,0.793700,770410,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,14,0.557670,0.805860,0.631665,0.785100,770410,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,15,0.553006,0.807300,0.615879,0.792600,770410,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,16,0.539949,0.811480,0.578225,0.801700,770410,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,17,0.527104,0.817500,0.584401,0.801800,770410,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,18,0.520237,0.817500,0.601202,0.796700,770410,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,19,0.515217,0.820840,0.514150,0.823000,770410,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,20,0.506351,0.822460,0.584802,0.803400,852682,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,21,0.501945,0.824720,0.634956,0.784000,852682,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,22,0.488069,0.829140,0.570161,0.805900,852682,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,23,0.482145,0.829960,0.523479,0.822100,852682,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,24,0.479629,0.833400,0.556267,0.808300,852682,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,25,0.469167,0.835960,0.517999,0.820500,852682,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,26,0.468842,0.835480,0.492626,0.834800,852682,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,27,0.459419,0.840340,0.499561,0.827300,852682,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,28,0.460896,0.838880,0.501762,0.830300,852682,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,29,0.452276,0.840080,0.498385,0.829100,852682,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,30,0.459156,0.840040,0.531423,0.822100,935914,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,31,0.450641,0.844160,0.540487,0.817600,935914,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,32,0.449826,0.844380,0.488662,0.834100,935914,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,33,0.442355,0.844380,0.581387,0.812600,935914,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,34,0.435204,0.848580,0.512354,0.829200,935914,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,35,0.433513,0.849140,0.508523,0.832300,935914,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,36,0.428779,0.850300,0.587631,0.806600,935914,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,37,0.423583,0.851560,0.492872,0.829500,935914,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,38,0.420357,0.853540,0.486059,0.839600,935914,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,39,0.416773,0.855800,0.572435,0.815400,935914,True,
20260404T153644Z,cgse_evolution_tier1b_schedule_seed41,40,0.415416,0.854640,0.522820,0.824200,935914,True,
