utc_ts,experiment,epoch,train_loss,train_acc,val_loss,val_acc,num_parameters,mutation_applied_yet,critic_score
20260404T105219Z,cgse_evolution_tier1b_smoke,0,2.219940,0.215820,1.981634,0.281250,620810,False,
20260404T105219Z,cgse_evolution_tier1b_smoke,1,1.844348,0.327148,1.889052,0.328125,620810,False,
20260404T105358Z,cgse_evolution_tier1b_smoke,0,2.219940,0.215820,1.981634,0.281250,620810,False,
20260404T105358Z,cgse_evolution_tier1b_smoke,1,1.844348,0.327148,1.889052,0.328125,620810,False,
20260404T105358Z,cgse_evolution_tier1b_smoke,2,1.790894,0.335938,1.825204,0.335938,695610,True,
20260404T105358Z,cgse_evolution_tier1b_smoke,3,1.655819,0.382812,1.727522,0.390625,695610,True,
20260404T105358Z,cgse_evolution_tier1b_smoke,4,1.728543,0.371094,1.796418,0.386719,751170,True,
20260404T105358Z,cgse_evolution_tier1b_smoke,5,1.559697,0.413086,1.691299,0.417969,751170,True,
20260404T105358Z,cgse_evolution_tier1b_smoke,6,2.538018,0.270508,2.015258,0.292969,6061890,True,
20260404T105358Z,cgse_evolution_tier1b_smoke,7,1.707233,0.357422,1.906546,0.363281,6061890,True,
20260404T105358Z,cgse_evolution_tier1b_smoke,8,1.631614,0.396484,1.903101,0.320312,6061890,True,
20260404T105358Z,cgse_evolution_tier1b_smoke,9,1.552303,0.433594,1.974870,0.386719,6061890,True,
