[repro] Using --seed 42; experiment_name=tier2_student_resnet20_cifar10_ce_seed42
Epoch 000 | train_loss 1.4796 | train_acc 0.4481 | val_loss 1.3660 | val_acc 0.5274
Epoch 001 | train_loss 0.9816 | train_acc 0.6493 | val_loss 1.2359 | val_acc 0.5777
Epoch 002 | train_loss 0.8001 | train_acc 0.7219 | val_loss 1.2098 | val_acc 0.6122
Epoch 003 | train_loss 0.7071 | train_acc 0.7536 | val_loss 0.9274 | val_acc 0.6859
Epoch 004 | train_loss 0.6578 | train_acc 0.7722 | val_loss 0.6787 | val_acc 0.7677
Epoch 005 | train_loss 0.6225 | train_acc 0.7852 | val_loss 0.8123 | val_acc 0.7227
Epoch 006 | train_loss 0.5990 | train_acc 0.7940 | val_loss 1.0783 | val_acc 0.6626
Epoch 007 | train_loss 0.5766 | train_acc 0.8013 | val_loss 0.9332 | val_acc 0.7155
Epoch 008 | train_loss 0.5586 | train_acc 0.8073 | val_loss 1.3631 | val_acc 0.6157
Epoch 009 | train_loss 0.5497 | train_acc 0.8107 | val_loss 0.9348 | val_acc 0.7074
Epoch 010 | train_loss 0.5351 | train_acc 0.8175 | val_loss 0.6527 | val_acc 0.7845
Epoch 011 | train_loss 0.5274 | train_acc 0.8187 | val_loss 0.8211 | val_acc 0.7384
Epoch 012 | train_loss 0.5154 | train_acc 0.8252 | val_loss 0.8115 | val_acc 0.7413
Epoch 013 | train_loss 0.5087 | train_acc 0.8255 | val_loss 0.8085 | val_acc 0.7304
Epoch 014 | train_loss 0.5065 | train_acc 0.8265 | val_loss 0.8598 | val_acc 0.7236
Epoch 015 | train_loss 0.5002 | train_acc 0.8278 | val_loss 0.6541 | val_acc 0.7811
Epoch 016 | train_loss 0.4924 | train_acc 0.8309 | val_loss 0.6472 | val_acc 0.7749
Epoch 017 | train_loss 0.4840 | train_acc 0.8342 | val_loss 0.7049 | val_acc 0.7730
Epoch 018 | train_loss 0.4800 | train_acc 0.8336 | val_loss 0.7555 | val_acc 0.7624
Epoch 019 | train_loss 0.4815 | train_acc 0.8359 | val_loss 0.6896 | val_acc 0.7691
Epoch 020 | train_loss 0.4733 | train_acc 0.8388 | val_loss 0.6084 | val_acc 0.7981
Epoch 021 | train_loss 0.4692 | train_acc 0.8394 | val_loss 0.7310 | val_acc 0.7611
Epoch 022 | train_loss 0.4629 | train_acc 0.8399 | val_loss 0.6835 | val_acc 0.7791
Epoch 023 | train_loss 0.4660 | train_acc 0.8390 | val_loss 0.6176 | val_acc 0.7934
Epoch 024 | train_loss 0.4612 | train_acc 0.8427 | val_loss 0.7593 | val_acc 0.7667
Epoch 025 | train_loss 0.3189 | train_acc 0.8930 | val_loss 0.3306 | val_acc 0.8874
Epoch 026 | train_loss 0.2741 | train_acc 0.9065 | val_loss 0.3177 | val_acc 0.8926
Epoch 027 | train_loss 0.2562 | train_acc 0.9113 | val_loss 0.3116 | val_acc 0.8955
Epoch 028 | train_loss 0.2443 | train_acc 0.9169 | val_loss 0.3106 | val_acc 0.8977
Epoch 029 | train_loss 0.2315 | train_acc 0.9204 | val_loss 0.3014 | val_acc 0.8999
Epoch 030 | train_loss 0.2252 | train_acc 0.9230 | val_loss 0.3062 | val_acc 0.8980
Epoch 031 | train_loss 0.2183 | train_acc 0.9243 | val_loss 0.3061 | val_acc 0.8978
Epoch 032 | train_loss 0.2115 | train_acc 0.9276 | val_loss 0.3232 | val_acc 0.8943
Epoch 033 | train_loss 0.2053 | train_acc 0.9292 | val_loss 0.3136 | val_acc 0.8936
Epoch 034 | train_loss 0.2017 | train_acc 0.9322 | val_loss 0.3223 | val_acc 0.8955
Epoch 035 | train_loss 0.1983 | train_acc 0.9324 | val_loss 0.3197 | val_acc 0.8944
Epoch 036 | train_loss 0.1951 | train_acc 0.9332 | val_loss 0.3243 | val_acc 0.8926
Epoch 037 | train_loss 0.1929 | train_acc 0.9332 | val_loss 0.3211 | val_acc 0.8970
Epoch 038 | train_loss 0.1895 | train_acc 0.9341 | val_loss 0.3162 | val_acc 0.8978
Epoch 039 | train_loss 0.1836 | train_acc 0.9366 | val_loss 0.3255 | val_acc 0.8950
Epoch 040 | train_loss 0.1540 | train_acc 0.9481 | val_loss 0.2854 | val_acc 0.9086
Epoch 041 | train_loss 0.1403 | train_acc 0.9538 | val_loss 0.2835 | val_acc 0.9118
Epoch 042 | train_loss 0.1343 | train_acc 0.9556 | val_loss 0.2835 | val_acc 0.9100
Epoch 043 | train_loss 0.1324 | train_acc 0.9558 | val_loss 0.2818 | val_acc 0.9086
Epoch 044 | train_loss 0.1308 | train_acc 0.9570 | val_loss 0.2833 | val_acc 0.9092
Epoch 045 | train_loss 0.1278 | train_acc 0.9577 | val_loss 0.2855 | val_acc 0.9109
Epoch 046 | train_loss 0.1267 | train_acc 0.9579 | val_loss 0.2847 | val_acc 0.9100
Epoch 047 | train_loss 0.1268 | train_acc 0.9586 | val_loss 0.2821 | val_acc 0.9097
Epoch 048 | train_loss 0.1232 | train_acc 0.9601 | val_loss 0.2836 | val_acc 0.9100
Epoch 049 | train_loss 0.1216 | train_acc 0.9593 | val_loss 0.2841 | val_acc 0.9110
Saved checkpoint to checkpoints/tier2/tier2_student_resnet20_cifar10_ce_seed42.pt
