[repro] Using --seed 42; experiment_name=tier2_student_resnet20_cifar10_kd_budgeted_seed42
[teacher] Loaded frozen teacher from checkpoints/tier2/tier2_teacher_resnet56_cifar10_seed42.pt (KD training).
Epoch 000 | train_loss 2.4504 | train_acc 0.4494 | val_loss 1.6221 | val_acc 0.5313 | kd T=4.0 α=0.5
Epoch 001 | train_loss 1.6706 | train_acc 0.6365 | val_loss 1.3927 | val_acc 0.6076 | kd T=4.0 α=0.5
Epoch 002 | train_loss 1.3733 | train_acc 0.7083 | val_loss 2.2202 | val_acc 0.5594 | kd T=4.0 α=0.5
Epoch 003 | train_loss 1.1957 | train_acc 0.7449 | val_loss 1.3048 | val_acc 0.6673 | kd T=4.0 α=0.5
Epoch 004 | train_loss 1.0943 | train_acc 0.7668 | val_loss 1.0489 | val_acc 0.7277 | kd T=4.0 α=0.5
Epoch 005 | train_loss 1.0133 | train_acc 0.7850 | val_loss 1.4787 | val_acc 0.6663 | kd T=4.0 α=0.5
Epoch 006 | train_loss 0.9769 | train_acc 0.7912 | val_loss 0.7753 | val_acc 0.7678 | kd T=4.0 α=0.5
Epoch 007 | train_loss 0.9231 | train_acc 0.8033 | val_loss 1.1599 | val_acc 0.6887 | kd T=4.0 α=0.5
Epoch 008 | train_loss 0.9076 | train_acc 0.8074 | val_loss 0.8109 | val_acc 0.7625 | kd T=4.0 α=0.5
Epoch 009 | train_loss 0.8779 | train_acc 0.8112 | val_loss 0.8935 | val_acc 0.7561 | kd T=4.0 α=0.5
Epoch 010 | train_loss 0.8591 | train_acc 0.8178 | val_loss 0.7557 | val_acc 0.7749 | kd T=4.0 α=0.5
Epoch 011 | train_loss 0.8374 | train_acc 0.8198 | val_loss 0.7588 | val_acc 0.7790 | kd T=4.0 α=0.5
Epoch 012 | train_loss 0.8102 | train_acc 0.8256 | val_loss 0.8195 | val_acc 0.7664 | kd T=4.0 α=0.5
Epoch 013 | train_loss 0.8048 | train_acc 0.8281 | val_loss 0.7322 | val_acc 0.7892 | kd T=4.0 α=0.5
Epoch 014 | train_loss 0.7890 | train_acc 0.8302 | val_loss 0.8786 | val_acc 0.7645 | kd T=4.0 α=0.5
Epoch 015 | train_loss 0.7807 | train_acc 0.8304 | val_loss 0.7090 | val_acc 0.7950 | kd T=4.0 α=0.5
Epoch 016 | train_loss 0.7672 | train_acc 0.8360 | val_loss 0.6689 | val_acc 0.8050 | kd T=4.0 α=0.5
Epoch 017 | train_loss 0.7561 | train_acc 0.8358 | val_loss 0.7334 | val_acc 0.7798 | kd T=4.0 α=0.5
Epoch 018 | train_loss 0.7617 | train_acc 0.8363 | val_loss 0.7431 | val_acc 0.7888 | kd T=4.0 α=0.5
Epoch 019 | train_loss 0.7536 | train_acc 0.8369 | val_loss 0.7229 | val_acc 0.8005 | kd T=4.0 α=0.5
Epoch 020 | train_loss 0.7374 | train_acc 0.8412 | val_loss 0.9608 | val_acc 0.7473 | kd T=4.0 α=0.5
Epoch 021 | train_loss 0.7343 | train_acc 0.8424 | val_loss 0.7092 | val_acc 0.7856 | kd T=4.0 α=0.5
Epoch 022 | train_loss 0.7247 | train_acc 0.8431 | val_loss 0.6631 | val_acc 0.8037 | kd T=4.0 α=0.5
Epoch 023 | train_loss 0.7312 | train_acc 0.8411 | val_loss 0.8887 | val_acc 0.7522 | kd T=4.0 α=0.5
Epoch 024 | train_loss 0.7177 | train_acc 0.8450 | val_loss 0.7623 | val_acc 0.7852 | kd T=4.0 α=0.5
Epoch 025 | train_loss 0.4787 | train_acc 0.8913 | val_loss 0.3657 | val_acc 0.8848 | kd T=4.0 α=0.5
Epoch 026 | train_loss 0.4076 | train_acc 0.9066 | val_loss 0.3547 | val_acc 0.8879 | kd T=4.0 α=0.5
Epoch 027 | train_loss 0.3794 | train_acc 0.9131 | val_loss 0.3578 | val_acc 0.8892 | kd T=4.0 α=0.5
Epoch 028 | train_loss 0.3673 | train_acc 0.9154 | val_loss 0.3443 | val_acc 0.8917 | kd T=4.0 α=0.5
Epoch 029 | train_loss 0.3447 | train_acc 0.9202 | val_loss 0.3461 | val_acc 0.8933 | kd T=4.0 α=0.5
Epoch 030 | train_loss 0.3353 | train_acc 0.9229 | val_loss 0.3356 | val_acc 0.8967 | kd T=4.0 α=0.5
Epoch 031 | train_loss 0.3303 | train_acc 0.9249 | val_loss 0.3436 | val_acc 0.8936 | kd T=4.0 α=0.5
Epoch 032 | train_loss 0.3204 | train_acc 0.9273 | val_loss 0.3534 | val_acc 0.8936 | kd T=4.0 α=0.5
Epoch 033 | train_loss 0.3139 | train_acc 0.9289 | val_loss 0.3598 | val_acc 0.8938 | kd T=4.0 α=0.5
Epoch 034 | train_loss 0.3038 | train_acc 0.9325 | val_loss 0.3350 | val_acc 0.8965 | kd T=4.0 α=0.5
Epoch 035 | train_loss 0.3014 | train_acc 0.9323 | val_loss 0.3279 | val_acc 0.8991 | kd T=4.0 α=0.5
Epoch 036 | train_loss 0.2935 | train_acc 0.9350 | val_loss 0.3259 | val_acc 0.9002 | kd T=4.0 α=0.5
Epoch 037 | train_loss 0.2888 | train_acc 0.9350 | val_loss 0.3443 | val_acc 0.8974 | kd T=4.0 α=0.5
Epoch 038 | train_loss 0.2878 | train_acc 0.9364 | val_loss 0.3235 | val_acc 0.8989 | kd T=4.0 α=0.5
Epoch 039 | train_loss 0.2868 | train_acc 0.9367 | val_loss 0.3336 | val_acc 0.8980 | kd T=4.0 α=0.5
Epoch 040 | train_loss 0.2476 | train_acc 0.9472 | val_loss 0.3029 | val_acc 0.9052 | kd T=4.0 α=0.5
Epoch 041 | train_loss 0.2365 | train_acc 0.9503 | val_loss 0.2956 | val_acc 0.9061 | kd T=4.0 α=0.5
Epoch 042 | train_loss 0.2292 | train_acc 0.9518 | val_loss 0.2941 | val_acc 0.9072 | kd T=4.0 α=0.5
Epoch 043 | train_loss 0.2284 | train_acc 0.9534 | val_loss 0.2972 | val_acc 0.9075 | kd T=4.0 α=0.5
Epoch 044 | train_loss 0.2266 | train_acc 0.9532 | val_loss 0.2982 | val_acc 0.9076 | kd T=4.0 α=0.5
Epoch 045 | train_loss 0.2235 | train_acc 0.9548 | val_loss 0.2940 | val_acc 0.9084 | kd T=4.0 α=0.5
Epoch 046 | train_loss 0.2210 | train_acc 0.9540 | val_loss 0.2935 | val_acc 0.9094 | kd T=4.0 α=0.5
Epoch 047 | train_loss 0.2186 | train_acc 0.9546 | val_loss 0.2904 | val_acc 0.9090 | kd T=4.0 α=0.5
Epoch 048 | train_loss 0.2168 | train_acc 0.9551 | val_loss 0.2921 | val_acc 0.9099 | kd T=4.0 α=0.5
Epoch 049 | train_loss 0.2150 | train_acc 0.9557 | val_loss 0.2926 | val_acc 0.9103 | kd T=4.0 α=0.5
Saved checkpoint to checkpoints/tier2/tier2_student_resnet20_cifar10_kd_budgeted_seed42.pt
