[repro] Using --seed 42; experiment_name=tier2_student_resnet20_cifar10_kd_seed42
[teacher] Loaded frozen teacher from checkpoints/tier2/tier2_teacher_resnet56_cifar10_seed42.pt (KD training).
Epoch 000 | train_loss 5.1837 | train_acc 0.4308 | val_loss 2.3819 | val_acc 0.4619 | kd T=4.0 α=0.5
Epoch 001 | train_loss 3.1681 | train_acc 0.6461 | val_loss 1.3723 | val_acc 0.6657 | kd T=4.0 α=0.5
Epoch 002 | train_loss 2.3584 | train_acc 0.7337 | val_loss 1.5122 | val_acc 0.6447 | kd T=4.0 α=0.5
Epoch 003 | train_loss 1.9606 | train_acc 0.7731 | val_loss 1.0641 | val_acc 0.7514 | kd T=4.0 α=0.5
Epoch 004 | train_loss 1.7551 | train_acc 0.7935 | val_loss 0.8951 | val_acc 0.7735 | kd T=4.0 α=0.5
Epoch 005 | train_loss 1.6152 | train_acc 0.8092 | val_loss 1.3417 | val_acc 0.6989 | kd T=4.0 α=0.5
Epoch 006 | train_loss 1.5222 | train_acc 0.8190 | val_loss 1.0729 | val_acc 0.7400 | kd T=4.0 α=0.5
Epoch 007 | train_loss 1.4230 | train_acc 0.8275 | val_loss 0.9838 | val_acc 0.7707 | kd T=4.0 α=0.5
Epoch 008 | train_loss 1.3766 | train_acc 0.8330 | val_loss 1.0770 | val_acc 0.7555 | kd T=4.0 α=0.5
Epoch 009 | train_loss 1.3300 | train_acc 0.8376 | val_loss 0.8881 | val_acc 0.7787 | kd T=4.0 α=0.5
Epoch 010 | train_loss 1.2911 | train_acc 0.8426 | val_loss 0.8208 | val_acc 0.7873 | kd T=4.0 α=0.5
Epoch 011 | train_loss 1.2501 | train_acc 0.8469 | val_loss 0.7723 | val_acc 0.8022 | kd T=4.0 α=0.5
Epoch 012 | train_loss 1.2150 | train_acc 0.8520 | val_loss 0.9015 | val_acc 0.7708 | kd T=4.0 α=0.5
Epoch 013 | train_loss 1.2038 | train_acc 0.8528 | val_loss 1.1017 | val_acc 0.7655 | kd T=4.0 α=0.5
Epoch 014 | train_loss 1.1801 | train_acc 0.8535 | val_loss 1.0876 | val_acc 0.7479 | kd T=4.0 α=0.5
Epoch 015 | train_loss 1.1630 | train_acc 0.8566 | val_loss 0.7478 | val_acc 0.8158 | kd T=4.0 α=0.5
Epoch 016 | train_loss 1.1357 | train_acc 0.8603 | val_loss 1.1029 | val_acc 0.7432 | kd T=4.0 α=0.5
Epoch 017 | train_loss 1.1270 | train_acc 0.8602 | val_loss 1.0118 | val_acc 0.7787 | kd T=4.0 α=0.5
Epoch 018 | train_loss 1.1125 | train_acc 0.8628 | val_loss 0.9508 | val_acc 0.7775 | kd T=4.0 α=0.5
Epoch 019 | train_loss 1.1057 | train_acc 0.8635 | val_loss 0.9892 | val_acc 0.7715 | kd T=4.0 α=0.5
Epoch 020 | train_loss 1.0890 | train_acc 0.8648 | val_loss 0.8397 | val_acc 0.7946 | kd T=4.0 α=0.5
Epoch 021 | train_loss 1.0740 | train_acc 0.8672 | val_loss 0.7054 | val_acc 0.8201 | kd T=4.0 α=0.5
Epoch 022 | train_loss 1.0505 | train_acc 0.8684 | val_loss 0.7478 | val_acc 0.8122 | kd T=4.0 α=0.5
Epoch 023 | train_loss 1.0657 | train_acc 0.8672 | val_loss 0.7738 | val_acc 0.7991 | kd T=4.0 α=0.5
Epoch 024 | train_loss 1.0542 | train_acc 0.8697 | val_loss 0.8130 | val_acc 0.8040 | kd T=4.0 α=0.5
Epoch 025 | train_loss 0.6851 | train_acc 0.9089 | val_loss 0.3576 | val_acc 0.8973 | kd T=4.0 α=0.5
Epoch 026 | train_loss 0.5883 | train_acc 0.9214 | val_loss 0.3462 | val_acc 0.9010 | kd T=4.0 α=0.5
Epoch 027 | train_loss 0.5518 | train_acc 0.9254 | val_loss 0.3331 | val_acc 0.9042 | kd T=4.0 α=0.5
Epoch 028 | train_loss 0.5269 | train_acc 0.9298 | val_loss 0.3265 | val_acc 0.9063 | kd T=4.0 α=0.5
Epoch 029 | train_loss 0.5066 | train_acc 0.9330 | val_loss 0.3258 | val_acc 0.9057 | kd T=4.0 α=0.5
Epoch 030 | train_loss 0.4969 | train_acc 0.9333 | val_loss 0.3237 | val_acc 0.9057 | kd T=4.0 α=0.5
Epoch 031 | train_loss 0.4816 | train_acc 0.9369 | val_loss 0.3167 | val_acc 0.9087 | kd T=4.0 α=0.5
Epoch 032 | train_loss 0.4722 | train_acc 0.9384 | val_loss 0.3128 | val_acc 0.9076 | kd T=4.0 α=0.5
Epoch 033 | train_loss 0.4722 | train_acc 0.9382 | val_loss 0.3224 | val_acc 0.9060 | kd T=4.0 α=0.5
Epoch 034 | train_loss 0.4574 | train_acc 0.9408 | val_loss 0.3082 | val_acc 0.9104 | kd T=4.0 α=0.5
Epoch 035 | train_loss 0.4560 | train_acc 0.9421 | val_loss 0.3105 | val_acc 0.9091 | kd T=4.0 α=0.5
Epoch 036 | train_loss 0.4446 | train_acc 0.9438 | val_loss 0.3132 | val_acc 0.9110 | kd T=4.0 α=0.5
Epoch 037 | train_loss 0.4350 | train_acc 0.9452 | val_loss 0.3153 | val_acc 0.9105 | kd T=4.0 α=0.5
