[repro] Using --seed 42; experiment_name=tier2_student_resnet20_cifar10_sched_headwiden_seed42
Epoch 000 | train_loss 1.4796 | train_acc 0.4481 | val_loss 1.3660 | val_acc 0.5274
Epoch 001 | train_loss 0.9816 | train_acc 0.6493 | val_loss 1.2359 | val_acc 0.5777
Epoch 002 | train_loss 0.8001 | train_acc 0.7219 | val_loss 1.2098 | val_acc 0.6122
Epoch 003 | train_loss 0.7071 | train_acc 0.7536 | val_loss 0.9274 | val_acc 0.6859
Epoch 004 | train_loss 0.6578 | train_acc 0.7722 | val_loss 0.6787 | val_acc 0.7677
Epoch 005 | train_loss 0.6225 | train_acc 0.7852 | val_loss 0.8123 | val_acc 0.7227
Epoch 006 | train_loss 0.5990 | train_acc 0.7940 | val_loss 1.0783 | val_acc 0.6626
Epoch 007 | train_loss 0.5766 | train_acc 0.8013 | val_loss 0.9332 | val_acc 0.7155
Epoch 008 | train_loss 0.5586 | train_acc 0.8073 | val_loss 1.3631 | val_acc 0.6157
Epoch 009 | train_loss 0.5497 | train_acc 0.8107 | val_loss 0.9348 | val_acc 0.7074
Epoch 010 | train_loss 0.5351 | train_acc 0.8175 | val_loss 0.6527 | val_acc 0.7845
Epoch 011 | train_loss 0.5274 | train_acc 0.8187 | val_loss 0.8211 | val_acc 0.7384
Epoch 012 | train_loss 0.5154 | train_acc 0.8252 | val_loss 0.8115 | val_acc 0.7413
Epoch 013 | train_loss 0.5087 | train_acc 0.8255 | val_loss 0.8085 | val_acc 0.7304
Epoch 014 | train_loss 0.5065 | train_acc 0.8265 | val_loss 0.8598 | val_acc 0.7236
Epoch 015 | train_loss 0.5002 | train_acc 0.8278 | val_loss 0.6541 | val_acc 0.7811
Epoch 016 | train_loss 0.4924 | train_acc 0.8309 | val_loss 0.6472 | val_acc 0.7749
Epoch 017 | train_loss 0.4840 | train_acc 0.8342 | val_loss 0.7049 | val_acc 0.7730
Epoch 018 | train_loss 0.4800 | train_acc 0.8336 | val_loss 0.7555 | val_acc 0.7624
Epoch 019 | train_loss 0.4815 | train_acc 0.8359 | val_loss 0.6896 | val_acc 0.7691
Epoch 020 | train_loss 0.4733 | train_acc 0.8388 | val_loss 0.6084 | val_acc 0.7981
Epoch 021 | train_loss 0.4692 | train_acc 0.8394 | val_loss 0.7310 | val_acc 0.7611
Epoch 022 | train_loss 0.4629 | train_acc 0.8399 | val_loss 0.6835 | val_acc 0.7791
Epoch 023 | train_loss 0.4660 | train_acc 0.8390 | val_loss 0.6176 | val_acc 0.7934
Epoch 024 | train_loss 0.4612 | train_acc 0.8427 | val_loss 0.7593 | val_acc 0.7667
[mutation] (schedule) Applied widen_resnet_head(delta=64) after epoch 25; params 272474 -> 281434; optimizer refreshed.
Epoch 025 | train_loss 0.3189 | train_acc 0.8930 | val_loss 0.3306 | val_acc 0.8874 | mutation=on
Epoch 026 | train_loss 0.4972 | train_acc 0.8308 | val_loss 0.7992 | val_acc 0.7499 | mutation=on
Epoch 027 | train_loss 0.4783 | train_acc 0.8373 | val_loss 0.5583 | val_acc 0.8048 | mutation=on
Epoch 028 | train_loss 0.4770 | train_acc 0.8348 | val_loss 0.7379 | val_acc 0.7709 | mutation=on
Epoch 029 | train_loss 0.4680 | train_acc 0.8409 | val_loss 0.5553 | val_acc 0.8142 | mutation=on
Epoch 030 | train_loss 0.4624 | train_acc 0.8421 | val_loss 0.6880 | val_acc 0.7813 | mutation=on
Epoch 031 | train_loss 0.4616 | train_acc 0.8417 | val_loss 0.6770 | val_acc 0.7790 | mutation=on
Epoch 032 | train_loss 0.4575 | train_acc 0.8445 | val_loss 0.6775 | val_acc 0.7851 | mutation=on
Epoch 033 | train_loss 0.4567 | train_acc 0.8439 | val_loss 0.6955 | val_acc 0.7748 | mutation=on
Epoch 034 | train_loss 0.4558 | train_acc 0.8456 | val_loss 0.6696 | val_acc 0.7887 | mutation=on
Epoch 035 | train_loss 0.4547 | train_acc 0.8454 | val_loss 0.6321 | val_acc 0.7950 | mutation=on
Epoch 036 | train_loss 0.4443 | train_acc 0.8478 | val_loss 0.6515 | val_acc 0.7707 | mutation=on
Epoch 037 | train_loss 0.4520 | train_acc 0.8455 | val_loss 0.6181 | val_acc 0.7952 | mutation=on
Epoch 038 | train_loss 0.4526 | train_acc 0.8453 | val_loss 0.5626 | val_acc 0.8130 | mutation=on
Epoch 039 | train_loss 0.4439 | train_acc 0.8476 | val_loss 0.6533 | val_acc 0.7869 | mutation=on
Epoch 040 | train_loss 0.4494 | train_acc 0.8474 | val_loss 0.5653 | val_acc 0.8131 | mutation=on
Epoch 041 | train_loss 0.4441 | train_acc 0.8488 | val_loss 0.6175 | val_acc 0.7949 | mutation=on
Epoch 042 | train_loss 0.4408 | train_acc 0.8520 | val_loss 0.9813 | val_acc 0.6933 | mutation=on
Epoch 043 | train_loss 0.4442 | train_acc 0.8480 | val_loss 0.8003 | val_acc 0.7503 | mutation=on
Epoch 044 | train_loss 0.4387 | train_acc 0.8499 | val_loss 0.5843 | val_acc 0.8044 | mutation=on
Epoch 045 | train_loss 0.4401 | train_acc 0.8495 | val_loss 0.6172 | val_acc 0.7961 | mutation=on
Epoch 046 | train_loss 0.4386 | train_acc 0.8494 | val_loss 0.6276 | val_acc 0.8002 | mutation=on
Epoch 047 | train_loss 0.4361 | train_acc 0.8520 | val_loss 0.6543 | val_acc 0.7799 | mutation=on
Epoch 048 | train_loss 0.4356 | train_acc 0.8524 | val_loss 0.6171 | val_acc 0.8007 | mutation=on
Epoch 049 | train_loss 0.4375 | train_acc 0.8483 | val_loss 0.5922 | val_acc 0.8034 | mutation=on
