[repro] Using --seed 42; experiment_name=tier2_teacher_resnet56_cifar10_seed42
Epoch 000 | train_loss 2.0391 | train_acc 0.2222 | val_loss 2.2056 | val_acc 0.2591
Epoch 001 | train_loss 1.5930 | train_acc 0.4029 | val_loss 1.4153 | val_acc 0.4852
Epoch 002 | train_loss 1.2203 | train_acc 0.5587 | val_loss 1.1258 | val_acc 0.5948
Epoch 003 | train_loss 0.9091 | train_acc 0.6792 | val_loss 1.0791 | val_acc 0.6538
Epoch 004 | train_loss 0.7664 | train_acc 0.7322 | val_loss 0.7813 | val_acc 0.7280
Epoch 005 | train_loss 0.6819 | train_acc 0.7657 | val_loss 0.6810 | val_acc 0.7659
Epoch 006 | train_loss 0.6284 | train_acc 0.7825 | val_loss 0.8162 | val_acc 0.7330
Epoch 007 | train_loss 0.5987 | train_acc 0.7936 | val_loss 0.6841 | val_acc 0.7620
Epoch 008 | train_loss 0.5685 | train_acc 0.8045 | val_loss 1.2098 | val_acc 0.6433
Epoch 009 | train_loss 0.5474 | train_acc 0.8130 | val_loss 0.7817 | val_acc 0.7431
Epoch 010 | train_loss 0.5329 | train_acc 0.8176 | val_loss 0.7974 | val_acc 0.7328
Epoch 011 | train_loss 0.5136 | train_acc 0.8232 | val_loss 0.5650 | val_acc 0.8119
Epoch 012 | train_loss 0.5087 | train_acc 0.8264 | val_loss 0.7534 | val_acc 0.7587
Epoch 013 | train_loss 0.4896 | train_acc 0.8328 | val_loss 0.6204 | val_acc 0.7791
Epoch 014 | train_loss 0.4847 | train_acc 0.8332 | val_loss 0.6365 | val_acc 0.7856
Epoch 015 | train_loss 0.4738 | train_acc 0.8368 | val_loss 0.5810 | val_acc 0.8095
Epoch 016 | train_loss 0.4678 | train_acc 0.8391 | val_loss 0.5860 | val_acc 0.8052
Epoch 017 | train_loss 0.4593 | train_acc 0.8423 | val_loss 0.7407 | val_acc 0.7656
Epoch 018 | train_loss 0.4549 | train_acc 0.8420 | val_loss 0.6937 | val_acc 0.7730
Epoch 019 | train_loss 0.4426 | train_acc 0.8472 | val_loss 0.6202 | val_acc 0.7983
Epoch 020 | train_loss 0.4487 | train_acc 0.8464 | val_loss 0.8127 | val_acc 0.7431
Epoch 021 | train_loss 0.4391 | train_acc 0.8496 | val_loss 0.5384 | val_acc 0.8173
Epoch 022 | train_loss 0.4362 | train_acc 0.8509 | val_loss 0.6308 | val_acc 0.7897
Epoch 023 | train_loss 0.4291 | train_acc 0.8542 | val_loss 0.6142 | val_acc 0.7995
Epoch 024 | train_loss 0.4280 | train_acc 0.8529 | val_loss 0.5963 | val_acc 0.8093
Epoch 025 | train_loss 0.2787 | train_acc 0.9064 | val_loss 0.2956 | val_acc 0.8973
Epoch 026 | train_loss 0.2265 | train_acc 0.9233 | val_loss 0.2851 | val_acc 0.9020
Epoch 027 | train_loss 0.2112 | train_acc 0.9286 | val_loss 0.2824 | val_acc 0.9064
Epoch 028 | train_loss 0.1946 | train_acc 0.9340 | val_loss 0.2804 | val_acc 0.9047
Epoch 029 | train_loss 0.1839 | train_acc 0.9372 | val_loss 0.2859 | val_acc 0.9037
Epoch 030 | train_loss 0.1745 | train_acc 0.9404 | val_loss 0.2729 | val_acc 0.9089
Epoch 031 | train_loss 0.1599 | train_acc 0.9463 | val_loss 0.2693 | val_acc 0.9094
Epoch 032 | train_loss 0.1554 | train_acc 0.9464 | val_loss 0.2815 | val_acc 0.9058
Epoch 033 | train_loss 0.1502 | train_acc 0.9488 | val_loss 0.2804 | val_acc 0.9100
Epoch 034 | train_loss 0.1420 | train_acc 0.9516 | val_loss 0.2841 | val_acc 0.9108
Epoch 035 | train_loss 0.1364 | train_acc 0.9538 | val_loss 0.2814 | val_acc 0.9129
Epoch 036 | train_loss 0.1353 | train_acc 0.9536 | val_loss 0.2861 | val_acc 0.9064
Epoch 037 | train_loss 0.1299 | train_acc 0.9561 | val_loss 0.3068 | val_acc 0.9055
Epoch 038 | train_loss 0.1284 | train_acc 0.9563 | val_loss 0.3241 | val_acc 0.9003
Epoch 039 | train_loss 0.1235 | train_acc 0.9574 | val_loss 0.3117 | val_acc 0.9056
Epoch 040 | train_loss 0.0908 | train_acc 0.9698 | val_loss 0.2514 | val_acc 0.9205
Epoch 041 | train_loss 0.0748 | train_acc 0.9767 | val_loss 0.2504 | val_acc 0.9210
Epoch 042 | train_loss 0.0706 | train_acc 0.9776 | val_loss 0.2520 | val_acc 0.9230
Epoch 043 | train_loss 0.0650 | train_acc 0.9799 | val_loss 0.2548 | val_acc 0.9223
Epoch 044 | train_loss 0.0631 | train_acc 0.9801 | val_loss 0.2543 | val_acc 0.9238
Epoch 045 | train_loss 0.0607 | train_acc 0.9815 | val_loss 0.2554 | val_acc 0.9233
Epoch 046 | train_loss 0.0573 | train_acc 0.9831 | val_loss 0.2575 | val_acc 0.9228
Epoch 047 | train_loss 0.0559 | train_acc 0.9835 | val_loss 0.2619 | val_acc 0.9233
Epoch 048 | train_loss 0.0537 | train_acc 0.9834 | val_loss 0.2619 | val_acc 0.9233
Epoch 049 | train_loss 0.0520 | train_acc 0.9843 | val_loss 0.2631 | val_acc 0.9219
Saved checkpoint to checkpoints/tier2/tier2_teacher_resnet56_cifar10_seed42.pt
