utc_ts,experiment,epoch,train_loss,train_acc,val_loss,val_acc,num_parameters,mutation_applied_yet,critic_score,optimizer,lr,epoch_seconds,wall_seconds,train_steps,teacher_forwards
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,0,1.479575,0.448140,1.365963,0.527400,272474,False,,sgd,0.10000000,61.157958,61.157962,391,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,1,0.981647,0.649260,1.235877,0.577700,272474,False,,sgd,0.10000000,67.800381,128.962788,782,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,2,0.800139,0.721880,1.209759,0.612200,272474,False,,sgd,0.10000000,68.086310,197.049959,1173,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,3,0.707064,0.753580,0.927351,0.685900,272474,False,,sgd,0.10000000,58.578295,255.630865,1564,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,4,0.657837,0.772220,0.678714,0.767700,272474,False,,sgd,0.10000000,57.925052,313.558332,1955,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,5,0.622507,0.785240,0.812328,0.722700,272474,False,,sgd,0.10000000,57.432796,370.992662,2346,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,6,0.599010,0.793960,1.078321,0.662600,272474,False,,sgd,0.10000000,59.721189,430.715792,2737,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,7,0.576608,0.801300,0.933238,0.715500,272474,False,,sgd,0.10000000,59.994933,490.713521,3128,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,8,0.558600,0.807260,1.363055,0.615700,272474,False,,sgd,0.10000000,59.140139,549.856045,3519,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,9,0.549712,0.810740,0.934821,0.707400,272474,False,,sgd,0.10000000,59.437182,609.296536,3910,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,10,0.535067,0.817540,0.652715,0.784500,272474,False,,sgd,0.10000000,59.567232,668.865788,4301,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,11,0.527421,0.818680,0.821135,0.738400,272474,False,,sgd,0.10000000,58.954337,727.823165,4692,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,12,0.515409,0.825240,0.811453,0.741300,272474,False,,sgd,0.10000000,58.614253,786.439020,5083,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,13,0.508711,0.825540,0.808516,0.730400,272474,False,,sgd,0.10000000,58.865353,845.307127,5474,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,14,0.506473,0.826520,0.859810,0.723600,272474,False,,sgd,0.10000000,58.518594,903.828337,5865,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,15,0.500172,0.827780,0.654062,0.781100,272474,False,,sgd,0.10000000,59.229603,963.060210,6256,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,16,0.492391,0.830940,0.647242,0.774900,272474,False,,sgd,0.10000000,58.360347,1021.423740,6647,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,17,0.483987,0.834240,0.704872,0.773000,272474,False,,sgd,0.10000000,60.593727,1082.020291,7038,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,18,0.480047,0.833600,0.755543,0.762400,272474,False,,sgd,0.10000000,67.317124,1149.339305,7429,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,19,0.481519,0.835860,0.689559,0.769100,272474,False,,sgd,0.10000000,61.782107,1211.124428,7820,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,20,0.473315,0.838840,0.608406,0.798100,272474,False,,sgd,0.10000000,58.924358,1270.052352,8211,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,21,0.469161,0.839420,0.730953,0.761100,272474,False,,sgd,0.10000000,58.877625,1328.933703,8602,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,22,0.462902,0.839940,0.683501,0.779100,272474,False,,sgd,0.10000000,58.098261,1387.034316,8993,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,23,0.465985,0.838960,0.617647,0.793400,272474,False,,sgd,0.10000000,58.724261,1445.761565,9384,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,24,0.461153,0.842660,0.759288,0.766700,272474,False,,sgd,0.01000000,58.703444,1504.467216,9775,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,25,0.318861,0.893000,0.330570,0.887400,272474,False,,sgd,0.01000000,58.368377,1562.838363,10166,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,26,0.274138,0.906500,0.317710,0.892600,272474,False,,sgd,0.01000000,59.086993,1621.928174,10557,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,27,0.256250,0.911300,0.311609,0.895500,272474,False,,sgd,0.01000000,58.176898,1680.107916,10948,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,28,0.244262,0.916940,0.310641,0.897700,272474,False,,sgd,0.01000000,58.116517,1738.227137,11339,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,29,0.231471,0.920360,0.301409,0.899900,272474,False,,sgd,0.01000000,58.816152,1797.046194,11730,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,30,0.225180,0.922960,0.306182,0.898000,272474,False,,sgd,0.01000000,58.682199,1855.730629,12121,0
20260420T163750Z,tier2_student_resnet20_cifar10_ce_seed42,31,0.218292,0.924320,0.306125,0.897800,272474,False,,sgd,0.01000000,58.946400,1914.680816,12512,0
