utc_ts,experiment,epoch,train_loss,train_acc,val_loss,val_acc,num_parameters,mutation_applied_yet,critic_score,optimizer,lr,epoch_seconds,wall_seconds,train_steps,teacher_forwards
20260419T223610Z,tier2_student_resnet20_cifar10_cgse_headwiden_seed42,0,1.451011,0.460400,1.282836,0.571200,272474,False,-0.316431,sgd,0.10000000,57.213277,57.213286,391,0
20260419T223610Z,tier2_student_resnet20_cifar10_cgse_headwiden_seed42,1,0.970204,0.654160,1.086013,0.629000,272474,False,-0.365007,sgd,0.10000000,56.756974,113.989729,782,0
20260419T223610Z,tier2_student_resnet20_cifar10_cgse_headwiden_seed42,2,0.794749,0.719720,1.116756,0.645600,272474,False,-0.320324,sgd,0.10000000,56.864076,170.860889,1173,0
20260419T223610Z,tier2_student_resnet20_cifar10_cgse_headwiden_seed42,3,0.707695,0.753480,0.875951,0.708900,272474,False,-0.336346,sgd,0.10000000,56.875340,227.742332,1564,0
20260419T223610Z,tier2_student_resnet20_cifar10_cgse_headwiden_seed42,4,0.655710,0.773400,1.351635,0.602700,272474,False,-0.287463,sgd,0.10000000,56.967928,284.717083,1955,0
20260419T223610Z,tier2_student_resnet20_cifar10_cgse_headwiden_seed42,5,0.630659,0.783720,0.804383,0.724700,272474,False,-0.349366,sgd,0.10000000,56.803005,341.525491,2346,0
20260419T223610Z,tier2_student_resnet20_cifar10_cgse_headwiden_seed42,6,0.597346,0.794680,0.827915,0.728800,272474,False,-0.316387,sgd,0.10000000,56.877413,398.408064,2737,0
20260419T223610Z,tier2_student_resnet20_cifar10_cgse_headwiden_seed42,7,0.579170,0.800440,0.793294,0.737000,272474,False,-0.319787,sgd,0.10000000,56.753277,455.165474,3128,0
20260419T223610Z,tier2_student_resnet20_cifar10_cgse_headwiden_seed42,8,0.557740,0.807500,0.767076,0.752100,272474,False,-0.325351,sgd,0.10000000,56.742764,511.912418,3519,0
20260419T223610Z,tier2_student_resnet20_cifar10_cgse_headwiden_seed42,9,0.537935,0.816520,0.734215,0.760100,272474,False,-0.325646,sgd,0.10000000,56.757379,568.676834,3910,0
20260419T223610Z,tier2_student_resnet20_cifar10_cgse_headwiden_seed42,10,0.530231,0.817160,0.685441,0.775700,272474,False,-0.331145,sgd,0.10000000,56.772468,625.453134,4301,0
20260419T223610Z,tier2_student_resnet20_cifar10_cgse_headwiden_seed42,11,0.518690,0.820920,0.694643,0.768500,272474,False,-0.325759,sgd,0.10000000,56.831053,682.288075,4692,0
20260419T223610Z,tier2_student_resnet20_cifar10_cgse_headwiden_seed42,12,0.510347,0.823800,0.912511,0.706600,272474,False,-0.311782,sgd,0.10000000,56.775454,739.067412,5083,0
20260419T223610Z,tier2_student_resnet20_cifar10_cgse_headwiden_seed42,13,0.509542,0.824000,0.723854,0.761300,272474,False,-0.352670,sgd,0.10000000,56.877086,795.948270,5474,0
20260419T223610Z,tier2_student_resnet20_cifar10_cgse_headwiden_seed42,14,0.493544,0.831240,0.762790,0.751600,272474,False,-0.331311,sgd,0.10000000,56.833161,852.787144,5865,0
20260419T223610Z,tier2_student_resnet20_cifar10_cgse_headwiden_seed42,15,0.490590,0.832900,0.638404,0.796600,272474,False,-0.357002,sgd,0.10000000,56.756094,909.550739,6256,0
20260419T223610Z,tier2_student_resnet20_cifar10_cgse_headwiden_seed42,16,0.483480,0.834200,0.812628,0.756900,272474,False,-0.324841,sgd,0.10000000,56.804612,966.362391,6647,0
