utc_ts,experiment,epoch,train_loss,train_acc,val_loss,val_acc,num_parameters,mutation_applied_yet,critic_score,optimizer,lr,epoch_seconds,wall_seconds,train_steps,teacher_forwards
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,0,2.491017,0.437140,1.726164,0.510700,272474,False,-0.190745,sgd,0.10000000,58.806224,58.806228,391,98
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,1,1.660677,0.638840,1.274276,0.619400,272474,False,-0.251332,sgd,0.10000000,58.151228,116.976698,782,196
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,2,1.350308,0.712000,0.986866,0.686900,272474,False,-0.220820,sgd,0.10000000,58.426044,175.409324,1173,294
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,3,1.181892,0.748640,1.077476,0.684200,272474,False,-0.166685,sgd,0.10000000,58.063725,233.480290,1564,392
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,4,1.085400,0.767020,1.275910,0.661300,272474,False,-0.150960,sgd,0.10000000,58.113796,291.600651,1955,490
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,5,1.020507,0.782200,0.964415,0.729500,272474,False,-0.206498,sgd,0.10000000,58.157345,349.764482,2346,588
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,6,0.976773,0.791740,0.813563,0.763300,272474,False,-0.183366,sgd,0.10000000,58.249559,408.020622,2737,686
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,7,0.928942,0.799860,0.743937,0.773300,272474,False,-0.164002,sgd,0.10000000,58.285326,466.312615,3128,784
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,8,0.899042,0.807300,0.671463,0.788200,272474,False,-0.164363,sgd,0.10000000,58.096499,524.416745,3519,882
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,9,0.857908,0.815220,0.932856,0.757700,272474,False,-0.130063,sgd,0.10000000,58.889133,583.313198,3910,980
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,10,0.845448,0.818520,1.241177,0.697000,272474,False,-0.109921,sgd,0.10000000,58.398345,641.719010,4301,1078
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,11,0.827988,0.819920,0.682727,0.794700,272474,False,-0.193386,sgd,0.10000000,58.059679,699.786402,4692,1176
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,12,0.810752,0.825600,0.939910,0.752500,272474,False,-0.115667,sgd,0.10000000,58.370885,758.164801,5083,1274
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,13,0.792485,0.829320,0.707221,0.783100,272474,False,-0.161987,sgd,0.10000000,58.139919,816.312817,5474,1372
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,14,0.803660,0.828700,1.097169,0.707500,272474,False,-0.090956,sgd,0.10000000,58.114878,874.435257,5865,1470
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,15,0.779848,0.831900,0.738793,0.786900,272474,False,-0.177511,sgd,0.10000000,58.334068,932.776232,6256,1568
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,16,0.756492,0.835080,0.870679,0.760200,272474,False,-0.119539,sgd,0.10000000,58.677787,991.461650,6647,1666
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,17,0.751883,0.836640,0.831127,0.765900,272474,False,-0.141129,sgd,0.10000000,58.377779,1049.846376,7038,1764
20260420T093001Z,tier2_student_resnet20_cifar10_cgse_multiop_kd_budgeted_seed42,18,0.748640,0.838980,0.592169,0.814600,272474,False,-0.152629,sgd,0.10000000,58.095424,1107.948717,7429,1862
