utc_ts,experiment,epoch,train_loss,train_acc,val_loss,val_acc,num_parameters,mutation_applied_yet,critic_score,optimizer,lr,epoch_seconds,wall_seconds,train_steps,teacher_forwards
20260420T001404Z,tier2_student_resnet20_cifar10_cgse_multiop_seed42,0,1.475305,0.451760,1.718482,0.481300,272474,False,-0.311822,sgd,0.10000000,57.177277,57.177282,391,0
20260420T001404Z,tier2_student_resnet20_cifar10_cgse_multiop_seed42,1,0.943782,0.663420,1.029036,0.652700,272474,False,-0.392617,sgd,0.10000000,56.810521,114.006736,782,0
20260420T001404Z,tier2_student_resnet20_cifar10_cgse_multiop_seed42,2,0.779928,0.726340,0.846448,0.707500,272474,False,-0.336897,sgd,0.10000000,56.867779,170.878231,1173,0
20260420T001404Z,tier2_student_resnet20_cifar10_cgse_multiop_seed42,3,0.695227,0.757580,0.788859,0.739600,272474,False,-0.326240,sgd,0.10000000,56.821613,227.704773,1564,0
20260420T001404Z,tier2_student_resnet20_cifar10_cgse_multiop_seed42,4,0.646367,0.775940,0.761040,0.745700,272474,False,-0.315617,sgd,0.10000000,56.779679,284.489126,1955,0
20260420T001404Z,tier2_student_resnet20_cifar10_cgse_multiop_seed42,5,0.615919,0.786980,0.782402,0.753700,272474,False,-0.317020,sgd,0.10000000,56.792837,341.286857,2346,0
20260420T001404Z,tier2_student_resnet20_cifar10_cgse_multiop_seed42,6,0.591217,0.795820,1.032228,0.684600,272474,False,-0.302426,sgd,0.10000000,56.825285,398.118484,2737,0
20260420T001404Z,tier2_student_resnet20_cifar10_cgse_multiop_seed42,7,0.572089,0.803460,0.840223,0.719300,272474,False,-0.327865,sgd,0.10000000,56.863226,454.985697,3128,0
20260420T001404Z,tier2_student_resnet20_cifar10_cgse_multiop_seed42,8,0.550048,0.810920,0.830008,0.736100,272474,False,-0.324353,sgd,0.10000000,56.845074,511.836434,3519,0
20260420T001404Z,tier2_student_resnet20_cifar10_cgse_multiop_seed42,9,0.540706,0.812600,0.929777,0.701800,272474,False,-0.310319,sgd,0.10000000,56.752778,568.593152,3910,0
20260420T001404Z,tier2_student_resnet20_cifar10_cgse_multiop_seed42,10,0.525687,0.820560,0.703531,0.763000,272474,False,-0.347602,sgd,0.10000000,56.761556,625.358974,4301,0
20260420T001404Z,tier2_student_resnet20_cifar10_cgse_multiop_seed42,11,0.516347,0.821680,0.735371,0.750400,272474,False,-0.322791,sgd,0.10000000,56.833019,682.195553,4692,0
20260420T001404Z,tier2_student_resnet20_cifar10_cgse_multiop_seed42,12,0.510324,0.823720,0.671125,0.776400,272474,False,-0.339649,sgd,0.10000000,56.815974,739.015863,5083,0
20260420T001404Z,tier2_student_resnet20_cifar10_cgse_multiop_seed42,13,0.505093,0.826600,0.710170,0.751300,272474,False,-0.323096,sgd,0.10000000,56.862428,795.885305,5474,0
20260420T001404Z,tier2_student_resnet20_cifar10_cgse_multiop_seed42,14,0.493332,0.830040,0.686791,0.771000,272474,False,-0.342673,sgd,0.10000000,56.815240,852.706443,5865,0
20260420T001404Z,tier2_student_resnet20_cifar10_cgse_multiop_seed42,15,0.492928,0.831760,0.718169,0.765900,272474,False,-0.335437,sgd,0.10000000,56.978600,909.691941,6256,0
