utc_ts,experiment,epoch,train_loss,train_acc,val_loss,val_acc,num_parameters,mutation_applied_yet,critic_score,optimizer,lr,epoch_seconds,wall_seconds,train_steps,teacher_forwards
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,0,1.479575,0.448140,1.365963,0.527400,272474,False,,sgd,0.10000000,57.331120,57.331126,391,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,1,0.981647,0.649260,1.235877,0.577700,272474,False,,sgd,0.10000000,56.943747,114.276260,782,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,2,0.800139,0.721880,1.209759,0.612200,272474,False,,sgd,0.10000000,56.894387,171.171870,1173,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,3,0.707064,0.753580,0.927351,0.685900,272474,False,,sgd,0.10000000,56.862164,228.035262,1564,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,4,0.657837,0.772220,0.678714,0.767700,272474,False,,sgd,0.10000000,56.908657,284.945599,1955,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,5,0.622507,0.785240,0.812328,0.722700,272474,False,,sgd,0.10000000,56.865596,341.812441,2346,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,6,0.599010,0.793960,1.078321,0.662600,272474,False,,sgd,0.10000000,56.889653,398.703780,2737,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,7,0.576608,0.801300,0.933238,0.715500,272474,False,,sgd,0.10000000,56.939818,455.645270,3128,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,8,0.558600,0.807260,1.363055,0.615700,272474,False,,sgd,0.10000000,56.939171,512.586067,3519,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,9,0.549712,0.810740,0.934821,0.707400,272474,False,,sgd,0.10000000,56.870993,569.458704,3910,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,10,0.535067,0.817540,0.652715,0.784500,272474,False,,sgd,0.10000000,57.000245,626.460671,4301,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,11,0.527421,0.818680,0.821135,0.738400,272474,False,,sgd,0.10000000,56.922407,683.384470,4692,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,12,0.515409,0.825240,0.811453,0.741300,272474,False,,sgd,0.10000000,56.920187,740.305871,5083,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,13,0.508711,0.825540,0.808516,0.730400,272474,False,,sgd,0.10000000,56.992719,797.299422,5474,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,14,0.506473,0.826520,0.859810,0.723600,272474,False,,sgd,0.10000000,56.911668,854.212422,5865,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,15,0.500172,0.827780,0.654062,0.781100,272474,False,,sgd,0.10000000,56.958275,911.172551,6256,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,16,0.492391,0.830940,0.647242,0.774900,272474,False,,sgd,0.10000000,57.013271,968.187035,6647,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,17,0.483987,0.834240,0.704872,0.773000,272474,False,,sgd,0.10000000,57.018309,1025.206609,7038,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,18,0.480047,0.833600,0.755543,0.762400,272474,False,,sgd,0.10000000,56.940232,1082.147943,7429,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,19,0.481519,0.835860,0.689559,0.769100,272474,False,,sgd,0.10000000,56.997590,1139.146987,7820,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,20,0.473315,0.838840,0.608406,0.798100,272474,False,,sgd,0.10000000,56.917732,1196.065758,8211,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,21,0.469161,0.839420,0.730953,0.761100,272474,False,,sgd,0.10000000,56.931543,1252.998745,8602,0
20260419T214753Z,tier2_student_resnet20_cifar10_sched_headwiden_seed42,22,0.462902,0.839940,0.683501,0.779100,272474,False,,sgd,0.10000000,56.914827,1309.914903,8993,0
