utc_ts,experiment,epoch,train_loss,train_acc,val_loss,val_acc,num_parameters,mutation_applied_yet,critic_score,optimizer,lr,epoch_seconds,wall_seconds,train_steps,teacher_forwards
20260419T232449Z,tier2_student_resnet20_cifar10_sched_layer3widen_seed42,0,1.479575,0.448140,1.365963,0.527400,272474,False,,sgd,0.10000000,57.355375,57.355380,391,0
20260419T232449Z,tier2_student_resnet20_cifar10_sched_layer3widen_seed42,1,0.981647,0.649260,1.235877,0.577700,272474,False,,sgd,0.10000000,56.814312,114.171610,782,0
20260419T232449Z,tier2_student_resnet20_cifar10_sched_layer3widen_seed42,2,0.800139,0.721880,1.209759,0.612200,272474,False,,sgd,0.10000000,56.806629,170.979511,1173,0
20260419T232449Z,tier2_student_resnet20_cifar10_sched_layer3widen_seed42,3,0.707064,0.753580,0.927351,0.685900,272474,False,,sgd,0.10000000,56.850772,227.831833,1564,0
20260419T232449Z,tier2_student_resnet20_cifar10_sched_layer3widen_seed42,4,0.657837,0.772220,0.678714,0.767700,272474,False,,sgd,0.10000000,56.817650,284.650987,1955,0
20260419T232449Z,tier2_student_resnet20_cifar10_sched_layer3widen_seed42,5,0.622507,0.785240,0.812328,0.722700,272474,False,,sgd,0.10000000,56.786928,341.439077,2346,0
20260419T232449Z,tier2_student_resnet20_cifar10_sched_layer3widen_seed42,6,0.599010,0.793960,1.078321,0.662600,272474,False,,sgd,0.10000000,56.797640,398.238384,2737,0
20260419T232449Z,tier2_student_resnet20_cifar10_sched_layer3widen_seed42,7,0.576608,0.801300,0.933238,0.715500,272474,False,,sgd,0.10000000,56.829385,455.069373,3128,0
20260419T232449Z,tier2_student_resnet20_cifar10_sched_layer3widen_seed42,8,0.558600,0.807260,1.363055,0.615700,272474,False,,sgd,0.10000000,56.777333,511.848097,3519,0
20260419T232449Z,tier2_student_resnet20_cifar10_sched_layer3widen_seed42,9,0.549712,0.810740,0.934821,0.707400,272474,False,,sgd,0.10000000,56.871000,568.720335,3910,0
20260419T232449Z,tier2_student_resnet20_cifar10_sched_layer3widen_seed42,10,0.535067,0.817540,0.652715,0.784500,272474,False,,sgd,0.10000000,56.776510,625.498466,4301,0
20260419T232449Z,tier2_student_resnet20_cifar10_sched_layer3widen_seed42,11,0.527421,0.818680,0.821135,0.738400,272474,False,,sgd,0.10000000,56.838858,682.339115,4692,0
20260419T232449Z,tier2_student_resnet20_cifar10_sched_layer3widen_seed42,12,0.515409,0.825240,0.811453,0.741300,272474,False,,sgd,0.10000000,56.830691,739.171492,5083,0
20260419T232449Z,tier2_student_resnet20_cifar10_sched_layer3widen_seed42,13,0.508711,0.825540,0.808516,0.730400,272474,False,,sgd,0.10000000,56.831743,796.004630,5474,0
20260419T232449Z,tier2_student_resnet20_cifar10_sched_layer3widen_seed42,14,0.506473,0.826520,0.859810,0.723600,272474,False,,sgd,0.10000000,56.833485,852.839886,5865,0
20260419T232449Z,tier2_student_resnet20_cifar10_sched_layer3widen_seed42,15,0.500172,0.827780,0.654062,0.781100,272474,False,,sgd,0.10000000,56.930386,909.771617,6256,0
