utc_ts,experiment,epoch,train_loss,train_acc,val_loss,val_acc,num_parameters,mutation_applied_yet,critic_score,optimizer,lr,epoch_seconds,wall_seconds,train_steps,teacher_forwards
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,0,2.039055,0.222160,2.205617,0.259100,855770,False,,sgd,0.10000000,74.570393,74.570396,391,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,1,1.593045,0.402880,1.415327,0.485200,855770,False,,sgd,0.10000000,73.599635,148.172391,782,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,2,1.220258,0.558700,1.125838,0.594800,855770,False,,sgd,0.10000000,72.377386,220.551939,1173,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,3,0.909093,0.679160,1.079092,0.653800,855770,False,,sgd,0.10000000,71.530078,292.084483,1564,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,4,0.766365,0.732220,0.781332,0.728000,855770,False,,sgd,0.10000000,70.726070,362.812492,1955,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,5,0.681939,0.765700,0.680991,0.765900,855770,False,,sgd,0.10000000,70.240171,433.054698,2346,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,6,0.628419,0.782540,0.816232,0.733000,855770,False,,sgd,0.10000000,69.926035,502.983082,2737,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,7,0.598670,0.793600,0.684077,0.762000,855770,False,,sgd,0.10000000,69.661371,572.646478,3128,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,8,0.568510,0.804460,1.209834,0.643300,855770,False,,sgd,0.10000000,69.576783,642.225011,3519,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,9,0.547372,0.812980,0.781742,0.743100,855770,False,,sgd,0.10000000,69.417842,711.645027,3910,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,10,0.532945,0.817580,0.797379,0.732800,855770,False,,sgd,0.10000000,69.284605,780.930259,4301,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,11,0.513576,0.823240,0.564981,0.811900,855770,False,,sgd,0.10000000,69.201505,850.134187,4692,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,12,0.508745,0.826380,0.753424,0.758700,855770,False,,sgd,0.10000000,69.487384,919.624338,5083,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,13,0.489646,0.832820,0.620351,0.779100,855770,False,,sgd,0.10000000,68.947356,988.574627,5474,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,14,0.484700,0.833240,0.636479,0.785600,855770,False,,sgd,0.10000000,68.931049,1057.508719,5865,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,15,0.473768,0.836820,0.581048,0.809500,855770,False,,sgd,0.10000000,68.910492,1126.422145,6256,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,16,0.467799,0.839120,0.586023,0.805200,855770,False,,sgd,0.10000000,68.660330,1195.085584,6647,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,17,0.459278,0.842320,0.740719,0.765600,855770,False,,sgd,0.10000000,69.009820,1264.097368,7038,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,18,0.454885,0.842040,0.693676,0.773000,855770,False,,sgd,0.10000000,68.801248,1332.901728,7429,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,19,0.442557,0.847200,0.620243,0.798300,855770,False,,sgd,0.10000000,68.604738,1401.508744,7820,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,20,0.448721,0.846400,0.812714,0.743100,855770,False,,sgd,0.10000000,68.264189,1469.775951,8211,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,21,0.439109,0.849620,0.538398,0.817300,855770,False,,sgd,0.10000000,68.444535,1538.223214,8602,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,22,0.436186,0.850880,0.630831,0.789700,855770,False,,sgd,0.10000000,68.463674,1606.689989,8993,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,23,0.429112,0.854160,0.614174,0.799500,855770,False,,sgd,0.10000000,68.185183,1674.878160,9384,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,24,0.428039,0.852900,0.596347,0.809300,855770,False,,sgd,0.01000000,68.190645,1743.070713,9775,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,25,0.278738,0.906400,0.295618,0.897300,855770,False,,sgd,0.01000000,68.665598,1811.739039,10166,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,26,0.226510,0.923320,0.285117,0.902000,855770,False,,sgd,0.01000000,68.343096,1880.084466,10557,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,27,0.211225,0.928580,0.282374,0.906400,855770,False,,sgd,0.01000000,68.305209,1948.392991,10948,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,28,0.194599,0.934040,0.280421,0.904700,855770,False,,sgd,0.01000000,68.401778,2016.796394,11339,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,29,0.183948,0.937200,0.285887,0.903700,855770,False,,sgd,0.01000000,68.628687,2085.427032,11730,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,30,0.174457,0.940440,0.272898,0.908900,855770,False,,sgd,0.01000000,68.381221,2153.811745,12121,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,31,0.159949,0.946260,0.269286,0.909400,855770,False,,sgd,0.01000000,68.466998,2222.279544,12512,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,32,0.155417,0.946400,0.281475,0.905800,855770,False,,sgd,0.01000000,68.550993,2290.833971,12903,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,33,0.150214,0.948760,0.280394,0.910000,855770,False,,sgd,0.01000000,68.553391,2359.389573,13294,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,34,0.142024,0.951600,0.284097,0.910800,855770,False,,sgd,0.01000000,68.969713,2428.362190,13685,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,35,0.136434,0.953760,0.281426,0.912900,855770,False,,sgd,0.01000000,68.714479,2497.080125,14076,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,36,0.135310,0.953580,0.286129,0.906400,855770,False,,sgd,0.01000000,68.613515,2565.696316,14467,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,37,0.129864,0.956100,0.306780,0.905500,855770,False,,sgd,0.01000000,68.078044,2633.777061,14858,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,38,0.128442,0.956320,0.324060,0.900300,855770,False,,sgd,0.01000000,68.033957,2701.812735,15249,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,39,0.123502,0.957440,0.311710,0.905600,855770,False,,sgd,0.00100000,68.525130,2770.340628,15640,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,40,0.090752,0.969800,0.251430,0.920500,855770,False,,sgd,0.00100000,68.413447,2838.756840,16031,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,41,0.074816,0.976660,0.250395,0.921000,855770,False,,sgd,0.00100000,67.872684,2906.632044,16422,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,42,0.070562,0.977600,0.251991,0.923000,855770,False,,sgd,0.00100000,67.793171,2974.428569,16813,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,43,0.064993,0.979900,0.254823,0.922300,855770,False,,sgd,0.00100000,68.167972,3042.598317,17204,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,44,0.063112,0.980080,0.254344,0.923800,855770,False,,sgd,0.00100000,68.304697,3110.905737,17595,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,45,0.060654,0.981460,0.255353,0.923300,855770,False,,sgd,0.00100000,68.345805,3179.255265,17986,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,46,0.057332,0.983140,0.257525,0.922800,855770,False,,sgd,0.00100000,68.141861,3247.399250,18377,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,47,0.055867,0.983520,0.261944,0.923300,855770,False,,sgd,0.00100000,68.310369,3315.712350,18768,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,48,0.053664,0.983440,0.261893,0.923300,855770,False,,sgd,0.00100000,68.234370,3383.949565,19159,0
20260419T191009Z,tier2_teacher_resnet56_cifar10_seed42,49,0.052009,0.984320,0.263067,0.921900,855770,False,,sgd,0.00100000,67.802586,3451.755202,19550,0
